niv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,0.28,0.15,0.1,0.12,0.13,0.08,0.08,0.03,0.03,0.01,0.0
PRES,0.38,0.1,0.13,0.11,0.08,0.1,0.04,0.03,0.03,0.01,0.0
IMPV do not,0.63,0.31,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0
MOD may,0.17,0.06,0.11,0.09,0.06,0.05,0.2,0.15,0.02,0.08,0.0
IMPV,0.44,0.25,0.02,0.04,0.06,0.06,0.05,0.05,0.01,0.02,0.0
MOD let,0.08,0.05,0.04,0.05,0.03,0.26,0.24,0.18,0.01,0.05,0.0
PAST,0.28,0.15,0.12,0.07,0.08,0.19,0.07,0.03,0.02,0.01,0.0
MOD can,0.38,0.17,0.11,0.11,0.09,0.02,0.09,0.0,0.03,0.01,0.0
MOD must,0.45,0.24,0.04,0.07,0.11,0.03,0.02,0.01,0.02,0.0,0.0
MOD is to,0.44,0.16,0.12,0.11,0.08,0.02,0.01,0.01,0.04,0.0,0.0
TO INF,0.3,0.15,0.03,0.06,0.04,0.08,0.3,0.01,0.01,0.01,0.0
PRES PART,0.39,0.19,0.06,0.06,0.07,0.11,0.07,0.01,0.03,0.0,0.0
MOD would,0.38,0.13,0.05,0.11,0.05,0.11,0.11,0.02,0.03,0.01,0.0
PRES do not,0.37,0.4,0.08,0.07,0.06,0.0,0.0,0.0,0.02,0.0,0.0
MOD shall,0.36,0.17,0.15,0.18,0.07,0.03,0.01,0.01,0.02,0.0,0.0
PRES PERF,0.39,0.07,0.19,0.04,0.03,0.11,0.07,0.05,0.04,0.0,0.01
MOD should,0.45,0.13,0.2,0.06,0.03,0.02,0.06,0.01,0.03,0.0,0.0
FUT question,0.59,0.1,0.13,0.05,0.0,0.08,0.02,0.02,0.0,0.01,0.0
PRES wh-question,0.56,0.17,0.07,0.0,0.04,0.08,0.05,0.0,0.01,0.01,0.0
PRES question,0.48,0.19,0.17,0.05,0.03,0.04,0.03,0.0,0.01,0.0,0.0
MOD could,0.46,0.15,0.11,0.06,0.07,0.03,0.07,0.0,0.06,0.0,0.0
MOD quest can,0.48,0.04,0.27,0.06,0.02,0.08,0.04,0.0,0.0,0.0,0.0
MOD might,0.43,0.07,0.2,0.03,0.0,0.07,0.07,0.07,0.03,0.03,0.0
MOD quest should,0.43,0.07,0.33,0.07,0.03,0.0,0.0,0.03,0.03,0.0,0.0
PAST did not,0.2,0.57,0.03,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0
MOD quest shall,0.73,0.04,0.04,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.55,0.0,0.1,0.05,0.15,0.05,0.05,0.0,0.05,0.0,0.0
FUT wh-question,0.37,0.32,0.05,0.0,0.11,0.05,0.11,0.0,0.0,0.0,0.0
MOD was to,0.5,0.06,0.17,0.06,0.17,0.0,0.06,0.0,0.0,0.0,0.0
MOD quest would,0.53,0.0,0.06,0.18,0.06,0.06,0.06,0.06,0.0,0.0,0.0
PAST PERF,0.29,0.06,0.12,0.0,0.24,0.12,0.06,0.0,0.12,0.0,0.0
FUT going-to,0.62,0.0,0.12,0.06,0.0,0.0,0.19,0.0,0.0,0.0,0.0
MOD lest,0.45,0.0,0.36,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
PAST PROG,0.22,0.22,0.11,0.11,0.33,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,0.44,0.11,0.11,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB,0.17,0.17,0.17,0.17,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,0.17,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.33,0.0,0.0
PRES PERF wh-question,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST wh-question,0.33,0.5,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
PRES PERF question,0.2,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
MOD need not,0.0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
MOD quest must,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
MOD that be,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.0
PAST question,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest could,0.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PAST do-support,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
