,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,-28.04,-0.07,0.36,14.89,35.42,-0.86,0.2,-6.22,1.9,0.05,-2.6
PRES,5.32,-19.01,8.9,3.17,-0.61,2.74,-20.54,-0.23,0.59,-2.98,5.16
IMPV do not,63.21,29.58,-14.72,-24.11,-18.52,-25.13,-25.06,-12.89,-1.95,-4.96,0.0
MOD may,-25.0,-11.7,0.62,0.05,-1.52,-2.86,27.36,37.9,-0.15,23.17,0.0
IMPV,7.49,11.98,-15.82,-7.59,-2.12,-1.31,-2.44,1.37,-2.46,0.75,0.29
MOD let,-55.67,-14.35,-6.45,-4.24,-7.69,45.6,41.92,47.85,-2.46,8.14,0.0
PAST,-3.46,-0.09,1.13,-1.11,-0.18,16.82,-0.32,-0.48,-0.44,-0.64,0.3
MOD can,1.02,0.57,0.32,0.71,0.06,-7.07,0.55,-7.53,0.52,-0.77,0.0
MOD must,5.95,5.96,-4.8,-0.73,1.52,-5.77,-5.67,-4.02,0.0,-1.8,0.0
MOD is to,3.53,0.31,1.03,0.6,-0.12,-4.94,-5.87,-2.54,0.79,-1.97,0.0
TO INF,-0.89,-0.0,-4.65,-1.67,-2.61,0.08,33.16,-2.76,-1.01,0.0,0.54
PRES PART,0.82,0.9,-0.97,-1.23,-0.33,1.1,0.0,-1.57,0.29,-0.42,0.0
MOD would,0.6,-0.35,-1.81,0.46,-1.08,0.87,1.06,-0.44,0.08,0.0,0.0
PRES do not,0.37,18.17,-0.25,-0.72,-0.77,-6.37,-6.98,-3.18,0.0,-1.1,0.0
MOD shall,0.22,0.42,1.72,3.8,-0.34,-2.14,-3.8,-1.58,0.0,-1.1,0.0
PRES PERF,0.65,-2.12,3.59,-1.65,-2.15,0.64,-0.0,0.3,0.54,-0.55,0.82
MOD should,2.23,-0.32,3.51,-0.83,-1.49,-2.3,-0.13,-0.74,0.37,-0.56,0.0
FUT question,6.6,-0.79,0.51,-0.78,-3.66,0.0,-1.47,-0.23,-0.93,0.0,0.0
PRES wh-question,3.9,0.28,-0.26,-2.97,-0.68,0.0,-0.18,-0.93,0.0,0.0,0.0
PRES question,1.84,0.48,1.33,-0.5,-1.04,-0.54,-0.75,-0.93,0.0,-0.2,0.0
MOD could,1.34,0.06,0.16,-0.39,-0.08,-0.9,0.0,-0.94,0.93,-0.2,0.0
MOD quest can,1.31,-1.4,3.29,-0.21,-0.73,-0.0,-0.24,-0.37,-0.2,0.0,0.0
MOD might,0.47,-0.52,1.18,-0.28,-0.76,0.0,0.0,0.52,0.26,0.45,0.0
MOD quest should,0.47,-0.52,3.44,0.0,-0.29,-0.77,-0.78,0.0,0.26,0.0,0.0
PAST did not,-0.91,6.81,-0.45,-0.97,0.0,-0.77,-0.78,-0.2,2.14,0.0,0.0
MOD quest shall,4.11,-0.78,-0.29,0.0,-0.79,0.33,-0.59,0.0,0.0,0.0,0.0
PRES PROG,1.22,-1.22,-0.0,0.0,0.63,0.0,0.0,0.0,0.39,0.0,0.0
FUT wh-question,0.09,1.27,0.0,-0.6,0.17,0.0,0.19,0.0,0.0,0.0,0.0
MOD was to,0.67,-0.3,0.39,0.0,0.72,-0.41,0.0,0.0,0.0,0.0,0.0
MOD quest would,0.9,-1.02,0.0,0.69,0.0,0.0,0.0,0.33,0.0,0.0,0.0
PAST PERF,-0.1,-0.3,0.17,-0.4,1.31,0.19,0.0,0.0,1.15,0.0,0.0
FUT going-to,1.51,-0.82,0.18,0.0,-0.41,-0.2,0.96,0.0,0.0,0.0,0.0
MOD lest,0.28,-0.41,1.77,-0.21,-0.21,0.0,0.72,0.0,0.0,0.0,0.0
PAST PROG,-0.14,0.2,0.22,0.24,1.47,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,0.3,0.0,0.22,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB,-0.17,-0.0,0.34,0.36,1.07,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,-0.17,-0.0,0.34,0.0,0.0,0.4,0.0,0.0,2.03,0.0,0.0
PRES PERF wh-question,1.69,-0.22,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST wh-question,0.0,1.33,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0
PRES PERF question,-0.18,0.78,0.4,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0
MOD need not,-0.76,0.78,0.4,0.42,0.0,0.46,0.0,0.0,0.0,0.0,0.0
MOD quest must,-0.51,0.32,0.47,0.0,0.53,0.54,0.0,0.0,0.0,0.0,0.0
MOD that be,-0.26,0.0,0.0,0.0,0.63,0.0,0.69,0.0,1.12,0.0,0.0
PAST question,0.0,0.41,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest could,0.57,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,0.57,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,-0.26,0.56,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0
PAST do-support,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0
