,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
PRES,6.17,9.48,1.42,-4.72,-21.85,-8.41,1.8,-5.27,-3.56,-5.06,0.0
FUT,0.06,-3.23,0.04,1.79,-0.1,0.04,3.54,-0.19,2.62,-1.75,-0.09
FUT ~ MOD shall,0.12,-0.15,-0.16,38.9,-10.68,-10.9,0.11,-0.97,-3.47,-3.58,-1.57
IMPV,-7.44,-2.66,-1.87,-6.42,47.35,5.5,-0.19,0.05,-0.78,3.3,-0.19
IMPV ~ MOD shall,21.13,-1.14,-14.97,0.33,-3.09,-2.2,-4.98,0.19,-2.13,-1.02,2.4
PAST,-3.53,0.0,8.55,-5.65,-11.32,26.91,-0.1,0.0,-0.31,-1.64,0.21
FUT ~ PRES,1.26,-0.07,1.6,-1.99,-1.79,-0.32,0.56,-0.38,0.0,-0.1,0.22
MOD let,-1.09,-0.84,-3.8,-9.13,18.71,2.15,-0.53,-1.29,7.6,1.66,0.0
MOD must ~ MOD shall,1.44,5.66,-6.92,0.21,-5.48,-1.32,-0.56,0.57,-1.46,-0.42,0.28
MOD may,0.0,-2.73,-7.16,0.88,11.88,-1.11,-0.8,-0.15,1.01,4.94,0.81
MOD is to ~ MOD shall,0.04,5.77,-9.09,3.4,-3.3,-1.82,-2.15,1.56,-0.41,-0.27,0.0
MOD can,-1.36,2.31,1.31,-2.12,-0.45,0.0,1.26,-0.08,-0.11,0.13,0.0
MOD shall,-0.84,0.03,-0.77,0.0,-2.52,3.29,-0.07,8.74,-0.74,-0.56,4.02
MOD shall ~ PRES,-0.51,1.76,-0.58,1.6,-1.72,0.0,-1.18,0.78,0.63,-0.39,0.0
FUT ~ MOD may,-0.14,-7.22,-2.31,2.59,6.59,-1.02,1.05,-0.11,2.4,1.42,0.0
MOD would,0.15,-2.1,3.57,-1.89,-2.82,0.57,0.53,1.21,3.4,-0.2,0.0
IMPV ~ MOD let,-2.08,-1.65,0.13,-3.02,9.09,1.73,0.1,0.13,0.0,1.67,0.67
PAST ~ PRES,-0.16,1.53,3.27,-4.01,-2.48,-0.09,-0.23,0.0,0.45,0.0,0.0
MOD let ~ MOD may,0.5,-2.2,-0.39,-3.84,3.97,-0.61,-0.57,0.0,0.0,10.83,0.0
PRES ~ PRES PART,0.6,-0.09,-0.14,0.34,-0.35,-0.09,0.6,0.0,-0.2,0.0,0.0
PRES ~ PRES PERF,-1.01,0.0,1.55,1.09,-1.18,0.92,0.0,0.34,0.0,0.0,0.77
MOD should,-3.79,2.29,-0.45,-2.03,1.46,0.55,0.45,1.89,0.22,0.73,0.0
FUT ~ MOD lest,0.74,-5.26,-2.05,-0.08,7.25,-1.1,-0.75,-0.38,0.0,7.64,0.0
MOD can ~ PRES,-0.0,-0.17,1.6,-0.55,-0.18,-0.42,0.52,-0.38,0.72,0.84,0.0
TO INF,-3.67,-1.33,1.17,0.0,4.72,0.0,-0.13,0.64,1.34,1.53,0.85
FUT ~ MOD can,0.21,0.53,0.39,-1.38,-1.03,0.11,0.79,-0.39,0.29,0.34,0.0
MOD may ~ PRES,0.82,-0.19,0.0,0.0,-0.2,-0.27,-0.56,0.18,0.0,1.68,0.0
PRES PERF,-0.3,-1.57,3.36,0.0,0.09,0.46,-0.57,0.4,0.31,0.0,0.92
MOD may ~ MOD shall,0.0,0.69,-0.92,1.57,-0.89,0.13,0.15,-0.19,0.0,0.0,0.0
IMPV ~ PRES,1.13,-1.3,0.09,0.0,0.71,0.0,-0.58,-0.19,0.0,1.02,0.0
MOD can ~ MOD may,-0.11,-0.06,-0.64,-0.36,6.28,0.0,-0.38,-0.2,0.0,0.0,0.0
PRES PART,0.0,-0.41,2.16,-0.1,-0.23,-0.14,0.17,0.97,0.0,0.0,0.0
PRES ~ TO INF,-0.12,-0.23,-0.21,0.37,0.81,-0.14,0.73,0.55,0.0,0.46,0.0
MOD should ~ PRES,0.0,0.32,-0.21,-0.75,0.81,0.0,0.18,-0.2,0.0,1.17,0.0
MOD can ~ MOD shall,0.55,-1.52,1.14,-0.23,0.41,0.34,0.0,-0.2,0.0,0.0,0.0
FUT ~ MOD would,0.37,-0.15,0.73,-1.33,0.25,0.14,-0.39,-0.0,0.42,0.0,0.0
MOD must,0.5,0.07,0.38,-0.11,-0.94,0.6,-0.2,0.23,0.0,0.0,0.0
MOD could,-3.16,1.31,1.03,-1.14,-0.44,2.15,2.09,0.0,0.0,0.0,0.0
