mother_verbtype,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV,IMPV ~ MOD shall,PAST,FUT ~ PRES,MOD let,MOD must ~ MOD shall,MOD may,MOD is to ~ MOD shall,MOD can,MOD shall,MOD shall ~ PRES,FUT ~ MOD may,MOD would,IMPV ~ MOD let,PAST ~ PRES,MOD let ~ MOD may,PRES ~ PRES PART,PRES ~ PRES PERF,MOD should,FUT ~ MOD lest,MOD can ~ PRES,TO INF,FUT ~ MOD can,MOD may ~ PRES,PRES PERF,MOD may ~ MOD shall,IMPV ~ PRES,MOD can ~ MOD may,PRES PART,PRES ~ TO INF,MOD should ~ PRES,MOD can ~ MOD shall,FUT ~ MOD would,MOD must,MOD could,MOD shall ~ TO INF,PAST ~ PRES PERF,MOD may ~ TO INF,MOD shall ~ MOD should,IMPV ~ MOD may,FUT ~ TO INF,MOD would ~ PAST,MOD would ~ PRES,FUT ~ IMPV,MOD let ~ PRES,PAST ~ PRES PART,FUT ~ MOD let,MOD shall ~ PRES PART,MOD should ~ TO INF,MOD must ~ PRES,FUT ~ PRES PART,MOD let ~ TO INF,PRES ~ PRES PROG,MOD lest ~ MOD may,MOD let ~ MOD shall,FUT ~ PAST,MOD shall ~ PAST,MOD lest ~ PRES,IMPV ~ MOD must,MOD should ~ MOD would,PAST ~ TO INF,FUT ~ MOD should,HAB used to ~ PAST,MOD might,IMPV ~ MOD can,MOD may ~ MOD must,MOD is to,PAST ~ PAST PERF,MOD was to ~ PAST,MOD let ~ MOD must,MOD is to ~ MOD let,MOD can ~ MOD should,MOD let ~ MOD should,MOD let ~ PAST,MOD can ~ MOD could,IMPV ~ TO INF,IMPV ~ PAST,IMPV ~ PRES PART,FUT ~ MOD must,MOD could ~ MOD would,MOD lest,MOD might ~ MOD would,IMPV ~ MOD should,PAST PERF,MOD should ~ MOD was to,FUT ~ FUT going-to,PAST ~ PAST PROG,MOD is to ~ MOD may,PRES PART ~ TO INF,MOD can ~ TO INF,MOD could ~ PAST,MOD could ~ MOD might,FUT ~ PRES PERF,MOD lest ~ MOD might,?VB ~ MOD let,MOD may ~ PRES PART,FUT going-to ~ MOD shall,MOD shall ~ MOD would,MOD is to ~ MOD must,MOD can ~ PRES PART,MOD would ~ TO INF,MOD was to,MOD lest ~ TO INF,MOD can ~ MOD let,MOD let ~ PRES PART,MOD might ~ PAST,MOD might ~ MOD should,MOD VB ~ MOD may,MOD can ~ PAST,MOD VB ~ PRES,MOD might ~ TO INF,MOD should ~ PAST,FUT ~ MOD is to,HAB used to,PAST PERF ~ PRES,?VB ~ PAST,FUT ~ PRES PROG,IMPV ~ MOD lest,PRES PERF ~ TO INF,MOD can ~ MOD might,MOD could ~ MOD must,PAST PROG,?VB,MOD shall ~ PRES PERF,FUT PROG ~ PRES,FUT ~ MOD that be,MOD need not ~ MOD shall,MOD may ~ PRES PERF,MOD would ~ PRES PART,MOD could ~ MOD should,MOD is to ~ PRES PART,MOD may ~ PAST,MOD may ~ MOD might,PRES PART ~ PRES PERF,MOD let ~ PRES PERF,MOD let ~ MOD would,IMPV ~ MOD is to,MOD lest ~ MOD would,?VB ~ MOD must,?VB ~ MOD shall,??VB ~ MOD let,MOD must ~ MOD should,MOD is to ~ PRES,MOD can ~ MOD must,MOD should ~ PRES PERF,MOD that be,MOD let ~ MOD that be,PAST PROG ~ PRES,MOD lest ~ MOD should,MOD lest ~ MOD shall,MOD is to ~ TO INF,MOD need not ~ PRES,MOD could ~ TO INF,PRES PROG,PRES ~ PRES do,FUT PERF,FUT ~ MOD,MOD quest must,MOD quest must ~ MOD shall,PRES ~ PRES shall,MOD should ~ PRES PART,?VB ~ IMPV,?VB ~ MOD lest,MOD that be ~ TO INF,MOD was to ~ PRES,MOD would ~ PAST PERF,MOD ~ PRES,MOD would ~ PAST PROG,FUT PERF ~ PRES,FUT ~ FUT PROG,PRES ~ PRES can,PRES PERF ~ PRES PROG,MOD must ~ TO INF,FUT going-to ~ MOD is to,PAST PROG ~ PRES PART,FUT PROG ~ MOD shall,PRES PART ~ PRES PROG,FUT going-to ~ MOD lest,MOD can ~ MOD lest,MOD must ~ PRES shall,MOD lest ~ MOD let,MOD could ~ MOD shall,MOD VB ~ TO INF,MOD could ~ PAST PERF,MOD VB ~ MOD shall,MOD could ~ PRES PERF,MOD VB ~ MOD can,JJ ~ PRES,IMPV ~ PRES PERF,MOD is to ~ MOD lest,MOD is to ~ MOD should,MOD is to ~ PRES PROG,IMPV ~ MOD need not,MOD lest ~ MOD must,MOD must ~ PRES PROG,MOD let ~ MOD might,IMPV ~ MOD,MOD let ~ VB,HAB used to ~ PRES PERF,HAB used to ~ PRES,MOD may ~ MOD should,HAB used to ~ MOD would,MOD may ~ MOD would,MOD might ~ PRES PERF,FUT ~ PRES shall,MOD must ~ MOD quest must,MOD must ~ PRES PART,MOD lest ~ MOD that be
yqtl,5255,1152,918,687,170,301,137,186,126,150,126,115,89,75,52,50,49,30,41,46,43,26,16,34,28,13,27,30,20,22,28,18,19,16,17,21,19,18,5,13,15,12,5,7,12,5,12,9,6,7,9,9,4,4,7,5,8,10,6,3,6,4,0,5,3,3,4,2,0,4,4,2,2,3,2,0,0,4,3,1,4,5,4,1,3,1,3,1,0,0,3,2,1,2,1,1,1,3,1,2,1,1,2,4,0,0,1,1,2,1,1,4,1,1,0,2,1,0,0,1,0,3,2,0,0,0,0,1,2,0,3,1,2,0,0,1,0,1,1,0,0,3,0,1,2,0,0,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1
Ø,3021,721,463,385,104,96,99,94,70,113,50,101,80,50,46,7,15,15,35,12,20,19,30,2,14,9,18,12,6,17,6,10,8,8,12,4,8,9,14,5,5,2,8,5,2,13,3,7,4,5,3,5,9,8,4,3,1,2,2,2,3,1,5,2,5,7,3,1,11,4,3,2,4,3,2,4,1,1,5,0,1,0,0,4,2,3,1,0,3,0,0,1,1,1,1,1,2,0,1,0,1,1,2,1,3,2,1,2,0,1,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,0,1,1,0,1,1,2,1,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
qtl,1320,290,231,166,41,6,84,56,16,8,7,3,36,15,10,4,25,12,23,7,8,15,5,1,13,12,8,6,15,2,6,2,11,3,3,8,7,5,7,4,9,0,5,1,4,1,7,0,4,4,3,1,1,4,1,0,2,0,3,3,2,0,1,3,1,0,0,3,0,1,0,2,1,1,0,2,1,1,0,2,0,0,2,0,0,1,0,2,2,2,1,1,1,2,2,2,2,2,1,0,1,3,0,0,1,1,0,1,0,3,0,1,2,1,2,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
wqtl,1143,172,229,306,20,47,13,22,4,31,35,43,11,18,21,22,3,1,0,0,10,12,1,5,3,6,1,5,5,10,4,2,3,5,1,2,0,2,0,8,1,1,1,3,3,6,0,0,0,2,1,4,0,1,3,0,1,0,0,5,2,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impv,1033,93,176,69,160,20,3,20,82,6,64,8,16,6,4,29,1,30,1,20,5,2,12,21,4,17,1,3,5,1,7,16,2,6,6,5,4,0,1,3,0,12,7,7,2,0,0,5,1,0,2,1,0,1,0,5,1,1,1,0,0,6,3,1,0,0,0,0,0,1,2,0,0,1,2,2,0,0,0,3,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wayq,616,68,108,30,53,11,81,16,28,8,8,5,12,22,6,2,8,11,4,2,3,7,6,0,1,3,3,1,4,3,2,2,1,1,2,3,2,3,6,0,3,1,3,2,2,3,0,2,2,3,2,0,2,0,0,0,2,0,1,0,0,0,3,3,2,0,2,3,0,0,0,3,2,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptcp,448,109,108,60,17,2,13,18,8,7,6,2,15,6,1,8,6,4,2,1,5,2,4,0,4,1,4,0,0,2,0,0,2,3,2,1,0,0,5,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infc,314,32,51,31,14,13,10,7,3,11,6,13,5,23,6,2,6,3,2,2,2,3,6,0,0,3,0,2,2,0,0,0,3,2,0,0,1,1,0,5,0,0,1,4,2,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohoF,151,13,41,6,3,0,3,4,19,0,7,1,2,0,3,6,7,1,2,1,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jussF,127,7,12,4,15,1,0,3,8,1,13,1,3,0,0,4,0,4,1,13,0,0,2,9,2,3,1,3,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
