lex,stem,person,sum
פשׁט,hif,p3,1
ירד,hof,p3,1
פשׁע,qal,p1,1
ירד,hif,p2,1
ירד,hif,p1,1
פתה,nif,p3,1
פתה,piel,p1,1
ירא,piel,p3,1
יקשׁ,qal,p3,1
יקר,qal,p3,1
יקר,qal,p2,1
יקר,qal,p1,1
פתח,piel,p2,1
יצת,hif,p3,1
יצר,qal,p2,1
פתל,nif,p1,1
יצר,pual,p3,1
יצר,nif,p3,1
צבא,qal,p3,1
ירשׁ,hif,p2,1
ירשׁ,qal,p1,1
פלל,piel,p2,1
פלל,piel,p1,1
פלל,hit,p2,1
ינק,hif,p3,1
ציד,hit,p1,1
צלל,qal,p3,1
יסף,qal,p1,1
יסף,nif,p3,1
צמא,qal,p1,1
צמח,qal,p3,1
צמת,hif,p2,1
צמת,nif,p1,1
יסד,piel,p2,1
יסד,nif,p3,1
יסד,hof,p3,1
צמת,nif,p3,1
חתר,qal,p1,1
ימר,hif,p3,1
ילל,hif,p3,1
קהל,hif,p3,1
קוה,piel,p3,1
קוט,nif,p3,1
טבע,qal,p1,1
נשׁה,piel,p3,1
טבח,qal,p3,1
טבח,qal,p1,1
חתת,nif,p3,1
חתת,hif,p2,1
יסר,piel,p1,1
יסר,piel,p2,1
צחק,qal,p2,1
צוץ,qal,p3,1
צדק,qal,p1,1
ידע,piel,p2,1
קבר,pual,p3,1
קבר,qal,p1,1
קדר,hit,p3,1
קדר,qal,p1,1
ידד,qal,p3,1
יגר,qal,p2,1
קדשׁ,qal,p1,1
יגע,qal,p3,1
קהה,piel,p3,1
קהל,hif,p2,1
יגע,hif,p2,1
ילד,pual,p2,1
צעק,qal,p1,1
צמת,qal,p3,1
צמת,piel,p3,1
צוד,qal,p3,1
צוה,pual,p2,1
יפה,piel,p2,1
צוף,hif,p3,1
צוף,qal,p3,1
יעץ,nif,p3,1
חתר,qal,p3,1
חתם,piel,p3,1
פלל,hit,p1,1
קיא,qal,p3,1
טפח,piel,p1,1
טעם,qal,p3,1
קום,qal,p2,1
קוץ,qal,p1,1
קוץ,qal,p3,1
טמא,qal,p3,1
קטן,qal,p1,1
קטף,qal,p3,1
טמא,nif,p1,1
טמא,hotp,p3,1
טול,hif,p3,1
טוה,qal,p3,1
חתם,hif,p3,1
טהר,qal,p3,1
טהר,qal,p1,1
טהר,piel,p1,1
קלה,qal,p3,1
צהל,qal,p3,1
יצב,hit,p3,1
פדה,qal,p1,1
כלה,qal,p2,1
כעס,hif,p2,1
כסף,nif,p3,1
כסף,nif,p2,1
טפח,piel,p3,1
טרף,pual,p3,1
טרף,qal,p3,1
יאה,qal,p3,1
חתך,nif,p3,1
חשׂף,qal,p3,1
חשׂף,qal,p1,1
קלל,piel,p2,1
קלל,qal,p1,1
קלל,qal,p2,1
קלע,qal,p3,1
חשׁה,hif,p1,1
קמט,pual,p3,1
קמל,qal,p3,1
קנא,piel,p3,1
חשׁב,piel,p3,1
קפד,piel,p1,1
קפץ,qal,p3,1
קצה,hif,p3,1
חרר,qal,p3,1
טבע,hof,p3,1
קלל,hif,p3,1
קום,hif,p2,1
יבשׁ,hif,p2,1
יאל,nif,p1,1
יאל,hif,p3,1
יאל,hif,p2,1
מלך,hof,p3,1
זנח,qal,p1,1
עלץ,qal,p3,1
זרק,pual,p3,1
רחב,qal,p3,1
חבשׁ,pual,p3,1
חבשׁ,piel,p3,1
חבר,pual,p3,1
חבר,etpa,p3,1
חבל,qal,p1,1
חבל,pual,p3,1
חבא,nif,p3,1
חבא,nif,p2,1
רחם,piel,p3,1
רחף,qal,p3,1
זרע,qal,p3,1
חדל,qal,p1,1
זרע,qal,p2,1
זרם,qal,p2,1
זרם,poel,p3,1
רום,piel,p3,1
חזק,piel,p1,1
חלל,hif,p1,1
רום,hof,p3,1
רבד,qal,p1,1
רבה,piel,p2,1
חלה,pual,p2,1
רבה,piel,p3,1
חדד,hof,p3,1
רחב,hif,p3,1
מנה,nif,p3,1
קרה,nif,p3,1
חקר,qal,p1,1
קרב,qal,p2,1
חקק,qal,p1,1
חצץ,pual,p3,1
חצה,qal,p3,1
קרה,hif,p3,1
חצב,pual,p2,1
חפשׂ,hit,p3,1
קרה,nif,p1,1
חפר,qal,p1,1
חפר,hif,p3,1
קרס,qal,p3,1
דרך,qal,p1,1
חפז,nif,p3,1
קרע,nif,p3,1
חלל,hof,p3,1
ראה,hif,p1,1
ראה,hof,p2,1
רום,piel,p1,1
רוץ,qal,p1,1
רוץ,qal,p2,1
חזה,qal,p2,1
חוס,qal,p3,1
חול,qal,p3,1
רבץ,qal,p3,1
חלה,hof,p1,1
רגז,hif,p2,1
באשׁ,hit,p3,1
שׂבע,hif,p2,1
בהל,nif,p1,1
בהל,hif,p3,1
שׂבע,qal,p1,1
בדל,hif,p2,1
שׂבר,piel,p1,1
שׂגב,qal,p3,1
שׂגה,hif,p3,1
בגד,qal,p1,1
באשׁ,nif,p3,1
באשׁ,nif,p2,1
שׂור,hif,p3,1
חכם,qal,p2,1
באשׁ,hif,p2,1
באר,piel,p3,1
אשׁם,qal,p3,1
אשׁם,qal,p2,1
שׂושׂ,qal,p1,1
ארשׂ,piel,p1,1
שׁפל,hif,p3,1
בוס,piel,p3,1
בושׁ,hif,p2,1
בטח,hif,p2,1
בלל,qal,p1,1
שׁתה,qal,p2,1
שׁתה,qal,p1,1
שׁקל,nif,p3,1
שׁקה,hif,p3,1
רגל,qal,p3,1
חיל,qal,p3,1
חיל,qal,p1,1
חיל,pual,p2,1
רגל,tif,p1,1
רגע,hif,p3,1
רגע,qal,p3,1
רדה,qal,p2,1
רדה,qal,p3,1
רדם,nif,p1,1
רדף,hif,p3,1
רהב,hif,p3,1
רוד,qal,p1,1
חטא,piel,p3,1
רוה,hif,p1,1
רוה,hif,p2,1
רוה,piel,p3,1
דרך,qal,p2,1
דבר,nif,p1,1
דרך,hif,p3,1
ארר,piel,p3,1
שׁקד,qal,p1,1
שׁקד,qal,p3,1
חקר,qal,p2,1
חקר,qal,p3,1
חרב,hif,p1,1
שׁאל,nif,p1,1
רקד,qal,p3,1
רשׁע,hif,p3,1
שׁאג,qal,p1,1
שׁאג,qal,p3,1
שׁאה,qal,p3,1
היה,nif,p2,1
היה,nif,p1,1
הדר,nif,p3,1
הגה,qal,p1,1
דשׁן,piel,p2,1
דשׁן,hotp,p3,1
דרשׁ,nif,p3,1
רעל,hof,p3,1
דרשׁ,nif,p1,1
רפה,hit,p2,1
הלל,piel,p3,1
רמם,qal,p3,1
הלל,pual,p3,1
זחל,qal,p1,1
רעב,qal,p3,1
זוע,qal,p3,1
זהר,nif,p3,1
זבח,qal,p1,1
רעה,piel,p3,1
רצץ,qal,p1,1
רצץ,piel,p3,1
רצץ,piel,p2,1
רצח,qal,p2,1
רכב,qal,p2,1
רכב,hif,p2,1
ריר,qal,p3,1
נשׁה,qal,p1,1
רטשׁ,pual,p3,1
זנה,hif,p2,1
זנה,hif,p3,1
רחשׁ,qal,p3,1
רחק,piel,p3,1
זנח,hif,p3,1
רחק,piel,p2,1
זעך,nif,p3,1
זעם,qal,p3,1
זעק,nif,p3,1
זעק,qal,p1,1
רחק,hif,p1,1
זעם,qal,p2,1
רעשׁ,hif,p1,1
רכך,hif,p3,1
הלל,piel,p1,1
רפה,piel,p1,1
רצה,qal,p2,1
הלך,piel,p3,1
זבד,qal,p3,1
רעם,qal,p3,1
חרב,hof,p3,1
חלל,qal,p3,1
קשׁח,hif,p3,1
רחץ,pual,p2,1
קשׁר,hit,p3,1
חלק,pual,p3,1
חלק,piel,p3,1
חלק,hif,p3,1
קשׁר,nif,p3,1
חלץ,piel,p2,1
קשׁר,qal,p1,1
חלם,qal,p3,1
חלם,qal,p1,1
חלל,piel,p1,1
רען,piel,p3,1
חלל,nif,p3,1
חסר,qal,p1,1
חסר,qal,p2,1
חסר,qal,p3,1
קרע,qal,p1,1
חרף,piel,p1,1
קצר,qal,p2,1
חרם,hif,p2,1
חרד,qal,p2,1
חרב,qal,p3,1
קרא,pual,p3,1
חמם,qal,p3,1
חמס,qal,p3,1
חמק,qal,p3,1
חמר,piel,p3,1
הרה,pual,p3,1
רעע,hit,p3,1
זרה,piel,p2,1
הרג,pual,p1,1
רעשׁ,hif,p2,1
הפך,qal,p2,1
הפך,qal,p1,1
הפך,hof,p3,1
המם,qal,p3,1
רפא,piel,p1,1
רפא,qal,p1,1
רחץ,qal,p2,1
חוה,hsht,p1,1
זרה,piel,p3,1
חמם,qal,p1,1
קרר,hif,p3,1
קשׁב,hif,p2,1
קשׁה,hif,p2,1
חנן,nif,p2,1
חנן,hit,p2,1
חנן,hit,p1,1
קשׁה,qal,p3,1
חמר,qal,p3,1
שׁמן,qal,p3,1
בלה,piel,p3,1
שׁמע,hif,p1,1
שׁלט,qal,p3,1
ברח,hif,p3,1
שׁכן,piel,p1,1
ברא,qal,p2,1
שׁכן,qal,p1,1
ברא,nif,p3,1
ברא,nif,p2,1
שׁלה,qal,p1,1
שׁלה,qal,p3,1
בקק,qal,p3,1
בקע,qal,p3,1
שׁלח,pual,p1,1
בקע,hof,p3,1
שׁכם,hif,p3,1
בצע,piel,p3,1
שׁלך,hif,p1,1
בעת,nif,p1,1
שׁלך,hif,p2,1
שׁלך,hof,p1,1
שׁלך,hof,p2,1
שׁלל,qal,p2,1
שׁלם,piel,p1,1
בעל,qal,p1,1
שׁלם,piel,p2,1
שׁלם,piel,p3,1
גוז,qal,p3,1
שׁמד,nif,p3,1
גוע,qal,p1,1
גור,qal,p1,1
דעך,nif,p3,1
דמם,qal,p3,1
דמם,hif,p3,1
דמה,qal,p2,1
דמה,piel,p3,1
דמה,piel,p2,1
דמה,piel,p1,1
שׁאר,hif,p1,1
דמה,nif,p1,1
דלק,qal,p3,1
שׁבע,hif,p2,1
דאב,qal,p3,1
שׁבר,nif,p1,1
דכה,piel,p2,1
דכא,pual,p3,1
דכא,piel,p2,1
דוך,qal,p3,1
דוח,hif,p3,1
דגר,qal,p3,1
שׁבת,hif,p3,1
דבר,nif,p3,1
דבק,qal,p1,1
דבק,hif,p1,1
שׁמד,hif,p1,1
שׁכל,piel,p2,1
שׁאר,qal,p3,1
מעך,pual,p3,1
חרץ,qal,p2,1
מסס,hif,p3,1
עלה,nif,p2,1
עלל,hit,p2,1
מצא,nif,p2,1
מצא,nif,p1,1
מצא,hif,p3,1
מצא,hif,p1,1
עלל,piel,p3,1
עלל,pual,p3,1
מעל,qal,p1,1
מעט,piel,p3,1
בשׁל,hif,p3,1
עלם,hif,p3,1
מסך,qal,p3,1
נבל,qal,p2,1
מסך,qal,p1,1
מסה,hif,p3,1
עלם,nif,p3,1
מנע,qal,p2,1
עלף,pual,p3,1
מנע,nif,p3,1
מנה,qal,p3,1
מנה,piel,p3,1
טבל,nif,p3,1
קצר,hif,p2,1
בשׁל,pual,p3,1
בשׁל,qal,p3,1
גדל,hif,p1,1
שׁחר,piel,p3,1
שׁחר,qal,p3,1
גדע,qal,p3,1
גדע,pual,p3,1
שׁחת,nif,p3,1
שׁטח,piel,p1,1
שׁיח,qal,p3,1
שׁיר,piel,p3,1
גדל,piel,p1,1
שׁיר,qal,p3,1
גדל,hif,p2,1
שׁית,qal,p1,1
שׁכך,qal,p3,1
שׁכב,hif,p3,1
גבה,qal,p2,1
שׁכב,pual,p2,1
שׁכח,nif,p3,1
שׁכח,piel,p3,1
גאל,piel,p1,1
גאל,nif,p3,1
גאה,qal,p3,1
בשׂר,piel,p3,1
דעך,pual,p3,1
גרשׁ,piel,p3,1
בכה,qal,p1,1
תעב,hif,p2,1
אחז,qal,p2,1
אחז,qal,p1,1
אחז,nif,p3,1
אזן,hif,p3,1
תמה,qal,p3,1
תמך,qal,p1,1
אוץ,qal,p3,1
אוץ,qal,p1,1
תמם,hif,p3,1
תנה,hif,p3,1
אוה,hit,p1,1
תעב,hif,p3,1
שׂכל,hif,p1,1
תעב,nif,p3,1
אגר,qal,p3,1
אבל,hit,p3,1
אבל,hif,p1,1
אבה,qal,p2,1
תפר,qal,p1,1
אבד,qal,p2,1
תפשׂ,qal,p2,1
אכף,qal,p3,1
תכן,piel,p1,1
אלם,nif,p3,1
תלל,hif,p3,1
אכל,hif,p2,1
תלה,qal,p1,1
תלא,qal,p3,1
בין,qal,p2,1
בין,nif,p1,1
בין,hit,p2,1
בין,hif,p2,1
שׁנן,qal,p1,1
שׁסה,qal,p3,1
שׁען,nif,p1,1
שׁפל,hif,p1,1
שׁען,nif,p3,1
שׁעע,piel,p1,1
בחן,qal,p3,1
שׁער,qal,p3,1
שׁפט,nif,p1,1
שׁפט,qal,p1,1
שׁפך,nif,p1,1
בזה,qal,p1,1
שׁפך,nif,p3,1
שׁפך,pual,p3,1
שׁפך,qal,p1,1
ארר,qal,p1,1
ארך,qal,p3,1
שׁמם,hif,p3,1
ארב,qal,p1,1
שׂרה,qal,p3,1
אצל,nif,p3,1
גרף,qal,p3,1
גלח,pual,p3,1
גרה,hit,p2,1
שׁגח,hif,p3,1
געל,nif,p3,1
שׁדד,nif,p1,1
גנב,qal,p2,1
גנב,pual,p1,1
גמר,qal,p3,1
שׁדד,qal,p3,1
שׁוב,hif,p1,1
שׁוב,hof,p3,1
גלל,qal,p1,1
שׁוה,nit,p3,1
אפק,hit,p3,1
שׁוה,piel,p3,1
שׁוח,qal,p3,1
שׁוט,qal,p3,1
גלה,nif,p1,1
שׁוק,hif,p3,1
שׁחח,hif,p3,1
שׁחח,qal,p1,1
גזר,nif,p1,1
גזז,nif,p3,1
שׁחק,qal,p3,1
גרס,qal,p3,1
גרז,nif,p1,1
גרם,qal,p3,1
גוע,qal,p3,1
דקר,qal,p3,1
שׂכל,piel,p3,1
שׂכל,qal,p3,1
אפה,qal,p1,1
שׂכר,qal,p1,1
אסר,pual,p3,1
שׂמח,hif,p2,1
שׂרד,qal,p3,1
שׂרה,qal,p2,1
אנח,nif,p3,1
תכן,nif,p3,1
שׂתם,qal,p3,1
תוה,hif,p3,1
אמר,nif,p3,1
אמר,hif,p3,1
אמר,hif,p2,1
אמץ,piel,p2,1
אמץ,piel,p1,1
אמץ,hit,p3,1
תור,qal,p2,1
אמן,hif,p3,1
תור,qal,p3,1
בלל,qal,p3,1
שׁמם,hif,p2,1
אבד,hif,p2,1
