clause_rela,prec_part,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,Ø,0.33,0.31,0.33,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,_>CR_,0.48,0.24,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_,0.62,0.14,0.12,0.05,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_,0.29,0.39,0.22,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_KH_,0.03,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_K_>CR_,0.66,0.14,0.03,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,_KJ_,0.27,0.25,0.07,0.38,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Main,_W_>T_,0.81,0.09,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Main,_B_,0.54,0.21,0.2,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_B_,0.7,0.16,0.1,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,Ø,0.43,0.23,0.24,0.08,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Main,_HNH_,0.14,0.54,0.18,0.0,0.03,0.02,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Main,_W_W_,0.87,0.07,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_W_,0.25,0.25,0.25,0.13,0.0,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.0,0.0
Main,_W_L_,0.85,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,Ø,0.33,0.24,0.41,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_KH_,0.04,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,_>CR_,0.42,0.37,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_MN_,0.57,0.09,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_>M_,0.2,0.36,0.36,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_GM_,0.62,0.24,0.09,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_H=_,0.09,0.49,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,_>T_>CR_,0.42,0.27,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_<L_KN_,0.42,0.26,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_KJ_B_,0.4,0.25,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_L_,0.4,0.11,0.43,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_MN_,0.76,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_>T_,0.58,0.37,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_GM_,0.31,0.26,0.4,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_MJ_,0.3,0.48,0.06,0.0,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,_>CR_,0.47,0.38,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_LMH_,0.0,0.57,0.07,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_>Z_,0.83,0.03,0.03,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_KN_,0.67,0.2,0.07,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Main,_MH_,0.0,0.86,0.07,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,_K_,0.25,0.14,0.43,0.07,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Main,_W_HNH_,0.43,0.32,0.11,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
