clause_rela,prec_part,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,Ø,-0.14,0.09,0.14,-0.09,0.01,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
SubMod,_>CR_,0.06,-0.01,-0.19,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Main,_W_,0.21,-0.11,-0.11,-0.03,0.0,0.02,0.02,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_,-0.15,0.15,0.0,0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_KH_,-0.42,-0.26,0.79,-0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_K_>CR_,0.24,-0.11,-0.19,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_KJ_,-0.16,0.01,-0.15,0.31,-0.01,-0.01,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
Main,_B_,0.11,-0.03,-0.02,-0.08,0.03,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_>T_,0.39,-0.16,-0.17,-0.05,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
Main,_W_B_,0.27,-0.08,-0.12,-0.07,0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Ø,-0.0,-0.02,0.02,-0.0,-0.01,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_W_,0.44,-0.18,-0.18,-0.05,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_W_,-0.18,0.0,0.03,0.05,-0.01,0.01,0.04,0.03,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
Main,_W_L_,0.42,-0.16,-0.17,-0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Ø,-0.1,-0.0,0.2,-0.08,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>M_,-0.24,0.14,0.14,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_>CR_,-0.01,0.12,-0.15,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_KH_,-0.4,-0.25,0.75,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_MN_,0.14,-0.16,0.12,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_GM_,0.19,-0.01,-0.13,-0.06,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_H=_,-0.34,0.25,-0.05,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,_>T_>CR_,-0.01,0.02,-0.2,0.21,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_<L_KN_,-0.01,0.01,0.11,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_L_,-0.05,-0.11,0.21,-0.04,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
