clause_rela,prec_part,sum
Main,Ø,2237
SubMod,_>CR_,1486
Main,_W_,1241
SubAdv,_KJ_,796
Main,_KH_,399
SubAdv,_K_>CR_,255
SubArg,_KJ_,165
Main,_B_,144
Main,_W_>T_,142
Main,_W_B_,80
SubMod,Ø,75
Main,_W_W_,62
SubAdv,_W_,60
Main,_W_L_,59
SubAdv,Ø,58
SubAdv,_>M_,57
SubArg,_>CR_,57
SubAdv,_KJ_KH_,57
Main,_MN_,56
Main,_W_GM_,55
Main,_H=_,53
SubArg,_>T_>CR_,52
Main,_<L_KN_,50
Main,_L_,50
SubAdv,_KJ_B_,48
Main,_W_MN_,46
Main,_>T_,43
Main,_GM_,35
Main,_MJ_,33
SubAdv,_>CR_,32
Main,_>Z_,30
Main,_KN_,30
Main,_LMH_,30
Main,_MH_,29
Main,_K_,28
Main,_<L_,25
Main,_W_<L_,24
SubAdv,_W_>CR_,20
SubMod,_C_,19
SubAdv,_W_>M_,17
SubAdv,_KJ_L_,17
Main,_KJ_,17
SubAdv,_W_KJ_,16
Main,_CM_,16
Main,_W_>XR/_,16
SubAdv,_<L_>CR_,15
Main,_B_L_,15
Main,_>LH_,14
Main,_>XR/_,13
Main,_W_>T_W_>T_,13
Main,_MDW<_,13
SubArg,_MH_,13
Main,_>L_,13
Main,_ZH_,12
SubAdv,_<D_,12
Main,_W_<TH_,12
Main,_RQ_,11
SubAdv,_KJ_MN_,11
SubAdv,_J<N/_,11
SubAdv,_J<N/_>CR_,11
Main,_>M_,11
Main,_>P_,11
Main,_B_HJ>_,11
SubMod,_H_,11
SubAdv,_W_B_,10
SubAdv,_TXT/_>CR_,10
Main,_B_W_L_,10
SubAdv,_KJ_>T_,10
Main,_>W_,10
SubAdv,_KJ_<TH_,9
Main,_W_>L_,9
Main,_W_B_L_,9
SubAdv,_KJ_>M_,9
Main,_MH_Z>T_,9
Main,_>JK_,9
Main,_<TH_,9
Main,_W_K_,8
Main,_J<N/_>CR_,8
Main,_W_>XR/_KN_,8
Main,_B_HW>_,8
Main,_W_GM_>T_,8
SubAdv,_KJ_<L_,8
Main,_>K_,8
Main,_W_CM_,8
SubAdv,_<D_>CR_,7
Main,_W_B_B_,7
Main,_W_MH_,7
Main,_W_W_W_,7
Main,_LKN_,7
Main,_K_>CR_,7
Main,_B_B_,7
Main,_W_KN_,7
SubAdv,_KJ_CM_,6
SubAdv,_KJ_<L_KN_,6
Main,_W_<WD/_,6
SubMod,_ZW_,6
Main,_B_HM_,6
SubAdv,_>XR/_>CR_,5
Main,_W_>T_W_>T_W_>T_,5
Main,_TXT/_,5
SubAdv,_W_<L_,5
Main,_GM_B_,5
SubArg,Ø,5
Main,_W_>LH_,5
SubAdv,_KJ_KN_,5
SubAdv,_W_>T_,5
Main,_B_W_,5
Main,_Z>T_,5
SubAdv,_<L_,5
Main,_B_W_B_,5
Main,_W_GM_B_,4
SubAdv,_B_,4
SubArg,_L_>CR_,4
SubAdv,_KJ_MN_>T==_,4
SubAdv,_W_K_>CR_,4
SubAdv,_LW_,4
Main,_GM_>T_,4
Main,_B_B_L_,4
Main,_B_ZH_,4
Main,_W_LMH_,4
Main,_>T_MJ_,4
Main,_B_MH_,4
Main,_MN_W_,4
Main,_J<N/_KJ_,4
SubArg,_MJ_,4
Main,_>CR_,4
Main,_>JKH_,4
SubArg,_>T_C_,4
Main,_MN_CM_,4
SubAdv,_W_L_,4
Main,_W_KH_,4
Main,_JXDW_,3
Main,_J<N/_,3
SubAdv,_W_>T_>CR_,3
SubAdv,_LWL>_,3
Main,_<L_MH_,3
Main,_>T_>LH_,3
Main,_L_L_,3
Main,_>JPH_,3
Main,_>ZJ_,3
Main,_MN_<L_,3
SubAdv,_W_MN_,3
Main,_GM_L_,3
Main,_C>L[_,3
Main,_B_Z>T_,3
Main,_RB/_,3
SubAdv,_K_,3
Main,_>XR/_>LH_,3
SubArg,_H=_,3
SubAdv,_KJ_K_,3
SubAdv,_<D_>M_,3
Main,_K_W_K_,3
SubAdv,_>XR/_,3
Main,_RQ_B_,3
SubAdv,_J<N/_KJ_,3
SubAdv,_KJ_>L_,3
SubMod,_W_>CR_,3
SubMod,_W_>T_>CR_,3
SubAdv,_<QB/_>CR_,3
Main,_W_<L_MJ_,3
Main,_W_ZH_,3
Main,_W_>T==_,3
Main,_W_MDW<_,3
Main,_W_GM_W_,3
SubAdv,_<D_C_,3
SubAdv,_<D_KJ_,3
Main,_H=_MN_,2
SubAdv,_KJ_LWL>_,2
SubAdv,_W_MN_>Z_,2
Main,_<D_,2
Main,_LMH_ZH_,2
Main,_W_B_W_L_,2
Main,_RQ_L_,2
Main,_W_B_B_L_,2
Main,_W_MN_W_MN_,2
Main,_HLK[_,2
Main,_JXD/_,2
Main,_W_>T_W_>T_W_>T_W_>T_,2
Main,_<L_B_,2
Main,_W_>T_SBJB/_,2
Main,_W_>T_>LH_W_>T_,2
Main,_<L_>CR_,2
SubArg,_KJ_B_,2
SubAdv,_MN_>CR_,2
SubAdv,_L_,2
SubArg,_KJ_MN_,2
SubArg,_B_>CR_,2
Main,_LJLH/_,2
SubAdv,_KJ_MH_,2
SubAdv,_KJ_MJ_,2
SubAdv,_W_>M_B_,2
Main,_W_TXT/_,2
SubAdv,_C_,2
SubAdv,_KJ_>T_W_>T_,2
SubAdv,_LM<N_,2
SubAdv,_BLT/_>M_,2
SubArg,_KJ_>T_,2
SubAdv,_KJ_GM_,2
SubAdv,_L_>CR_,2
SubAdv,_MN_>Z_,2
SubAdv,_M>D/_,2
SubAdv,_<D_>CR_>M_,2
Main,_W_>P_NGD/_,2
Main,_K_L_,2
Main,_<WD/_,2
Main,_>T_W_>T_W_>T_,2
Main,_W_L_L_L_W_L_,2
Main,_W_L_L_,2
Main,_>M_L_,2
Main,_>N_,2
Main,_>T_W_>T_,2
Main,_<D_>N_,2
Main,_>W_MJ_,2
Main,_RQ_>T_,2
Main,_>K_W_,2
Main,_BJN/_,2
Main,_B_<L_,2
Main,_B_MN_,2
Main,_W_GM_B_Z>T_,2
Main,_B_L_B_B_L_,2
Main,_B_B_B_L_,2
Main,_LW_,2
Main,_>MR[_,2
Main,_>WLJ_,2
Main,_W_MJ_,2
Main,_NGD/_,2
Main,_L_W_,2
Main,_L_MN_,2
Main,_<WD/_Z>T_,2
Main,_MN_>Z_,2
Main,_MN_L_,2
Main,_MN_W_<D_,2
Main,_MN_W_W_,2
Main,_MN_W_MN_,2
Main,_PT>M_,2
Main,_QN>[_,2
Main,_B_W_W_W_W_,2
Main,_B_W_L_B_L_,2
Main,_CM<[_,2
Main,_B_W_K_,2
Main,_W_MN_MN_,2
Main,_XBL=[_,1
Main,_W_MN_MJ_,1
Main,_W_GM_KKH_,1
Main,_W_L_>LH_,1
Main,_W_Z>T_,1
Main,_W_NGD/_,1
Main,_W_MN_W_W_,1
Main,_W_W_L_,1
Main,_W_W_MN_>T==_,1
Main,_W_MN_L_,1
Main,_W_MN_CM_,1
Main,_W_MN_B_,1
Main,_W_MN_>T==_,1
Main,_W_MN_>LH_,1
Main,_W_MN_<M_,1
Main,_W_W_MN_,1
Main,_W_MH_Z>T_,1
Main,_W_W_W_GM_,1
Main,_W_GM_PH_,1
Main,_W_GM_L_,1
Main,_W_LW_,1
Main,_W_GM_W_W_,1
Main,_W_K_Z>T_W_K_Z>T_,1
Main,_K_K_L_,1
SubAdv,_H_,1
Main,_W_>T==_W_W_,1
Main,_W_L_W_L_W_L_W_L_W_L_<D_KN_,1
Main,_W_LMH_ZH_,1
Main,_W_LMH_MN_,1
Main,_XFP[_,1
Main,_W_K_ZH_,1
Main,_W_K_>CR_,1
Main,_W_HNH==_,1
Main,_XNM_,1
Main,_W_KN_B_,1
Main,_ZNH[_,1
Main,_W_KMW_,1
Main,_W_KJ_,1
SubAdv,_<D_>CR_<D_KH_,1
Main,_W_KBR/_,1
Main,_W_JXDW_,1
Main,_W_W_W_W_,1
SubAdv,_B_H_,1
Main,_W_L_W_L_W_L_,1
Main,_W_>T_>T_,1
SubAdv,_C_KKH_,1
SubAdv,_>T_>CR_,1
SubAdv,_<L_KJ_,1
Main,_W_>XR/_MN_,1
Main,_W_>XR/_Z>T_,1
Main,_W_GM_>T_W_>T_W_>T_W_>T_W_>T_,1
Main,_W_GM_>T_W_,1
SubAdv,_<QB/_,1
Main,_W_GM_>L_,1
SubAdv,_>CR_<L_KN_,1
SubAdv,_>LW_L_W_L_,1
Main,_W_B_ZH_,1
Main,_W_B_W_L_ZH_,1
SubAdv,_>M_>T_W_>T_,1
Main,_W_B_MN_PNJMH_,1
SubAdv,_>M_B_,1
Main,_W_B_KN_,1
Main,_W_B_HJ>_,1
SubAdv,_>M_NF>[_,1
Main,_W_>T_>LH_,1
Main,_W_>T_B_,1
Main,_W_L_W_L_,1
Main,_W_>T_B_HW>_,1
Main,_W_W_W_W_W_W_,1
Main,_W_L_GM_,1
SubAdv,_GM_,1
Main,_W_GM_DLH[_,1
SubAdv,_<L_KJ_JR>[_,1
SubAdv,_>W_,1
Main,_W_>WLM_,1
Main,_W_>T_Z>T_,1
Main,_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_,1
Main,_W_>T_W_>T_W_>T_W_>T_W_>T_W_>T_,1
SubAdv,_>XR/_K_>CR_,1
SubAdv,_BLT/_,1
Main,_W_>T_W_>T_W_>T_MN_MN_,1
Main,_W_>T_W_>T_>T_,1
SubAdv,_B_>CR_,1
Main,_MJ_B_,1
Main,_W_>T_MJ_,1
Main,_W_>T_DRC[_,1
Main,_W_>T_B_W_>T_,1
Main,_MH_ZH_,1
SubAdv,_KJ_>Z_,1
Main,_MN_<D_<D_,1
Main,_MN_<D_W_W_,1
Main,_V<M[_,1
SubAdv,_KJ_<TH_RJQM_,1
Main,_W_>P_,1
Main,_W_>M_L_,1
Main,_W_>MC/_,1
Main,_W_>L_W_>L_ZH_,1
SubAdv,_J<N/_>T_,1
Main,_W_>LH_W_,1
SubAdv,_J<N/_B_,1
Main,_W_>K_,1
Main,_W_>JPH_,1
Main,_W_>CR_,1
Main,_W_<WD/_W_,1
SubAdv,_KJ_<L_>LH_,1
SubAdv,_KJ_<L_MJ_,1
Main,_W_<M_,1
SubAdv,_KJ_<L_W_<L_,1
Main,_W_<L_>CR_,1
SubAdv,_KJ_<TH_GM_>T_,1
Main,_NGD[_,1
Main,_TXT/_MN_,1
Main,_NKH[_,1
SubAdv,_KJ_>M_L_,1
SubAdv,_>PS/_KJ_N>Y[_,1
Main,_TXT/_MH_,1
SubAdv,_KJ_<YR[_,1
Main,_RQ_W_W_W_,1
Main,_RQ_W_W_,1
SubAdv,_KJ_>M_>T_ZH_,1
Main,_RQ_B_HW>_,1
SubAdv,_KJ_>M_B_L_,1
SubAdv,_KJ_>M_M>S[_,1
Main,_PQD[_,1
SubAdv,_KJ_>T==_,1
Main,_R>H[_,1
Main,_QWH[_,1
Main,_QR>=[_,1
SubAdv,_KJ_>T_>L===_,1
Main,_QDC[_,1
SubAdv,_KJ_>T_>LH_,1
Main,_PRR=[_,1
Main,_W_<D_W_W_W_,1
Main,_W_<D_,1
Main,_VRM/_,1
Main,_MN_MN_,1
Main,_MWV[_,1
SubAdv,_KJ_GM_GM_,1
SubAdv,_KJ_GM_>L_,1
Main,_MN_W_MN_W_MN_W_,1
SubAdv,_KJ_>Z_MN_,1
SubAdv,_KJ_BGD[_,1
SubAdv,_KJ_B_>LH_,1
Main,_MN_NGD/_,1
Main,_MN_M>D/_,1
SubAdv,_KJ_MRH[_,1
Main,_MN_L_W_<D_ZH_,1
SubAdv,_KJ_B_PT>M_,1
Main,_MN_HJ>_,1
SubAdv,_KJ_B_ZH_,1
Main,_MN_B_,1
SubAdv,_KJ_CB<[_,1
Main,_MN_>T==_,1
SubAdv,_KJ_FKR[_,1
SubAdv,_KJ_GM_W_GM_,1
