french_tense,PAST,PAST ~ PRES,PRES,MOD would ~ PAST,FUT,FUT ~ MOD shall,MOD would,PRES PERF,PAST ~ PRES PART,PAST ~ PRES PERF,FUT ~ PRES,PAST ~ PAST PROG,PRES ~ PRES PART,HAB used to ~ PAST,HAB used to ~ MOD would,HAB used to,MOD is to ~ MOD shall,FUT ~ MOD lest,PAST ~ TO INF,IMPV ~ MOD would,PRES PART,FUT ~ MOD may,IMPV ~ PRES,FUT ~ MOD can,HAB used to ~ PAST PROG,IMPV,TO INF,MOD may,MOD may ~ PRES,MOD shall,MOD should,MOD should ~ PRES,PRES ~ PRES PERF,MOD was to ~ PAST,MOD would ~ PRES PART,MOD ~ MOD would,PAST ~ PAST PERF,PRES PERF ~ TO INF,MOD was to
imparfait,-0.17,0.2,-0.15,0.11,-0.03,-0.02,0.08,-0.06,0.01,-0.03,-0.01,0.02,0.0,0.02,0.02,0.01,-0.02,0.01,-0.01,0.01,0.0,-0.01,-0.01,-0.01,0.01,-0.01,0.01,0.01,0.01,-0.01,0.01,0.01,-0.01,0.01,0.01,0.01,-0.01,-0.01,0.01
passé_comp,-0.1,-0.11,0.17,-0.08,0.09,0.01,-0.06,0.11,-0.01,0.06,0.03,-0.02,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
passé_simp,0.38,-0.15,0.01,-0.07,-0.07,0.01,-0.04,-0.04,-0.0,-0.02,-0.02,-0.0,-0.02,-0.01,-0.01,0.01,0.04,-0.01,0.03,-0.01,0.01,-0.0,0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
