eng_TAM,prose,prophetic,poetry,instruction,list
PAST..IND,1.67,5.85,7.36,27.44,17.74
PRES.PERF.IND,2.28,3.27,5.03,18.54,294.25
PRES..IND,5.89,2.19,2.85,42.96,2062.0
PAST.PERF.IND,1.2,10.71,26.07,97.75,46.0
FUT..IND,6.27,1.53,6.9,23.0,inf
PAST..SUBJ,1.68,7.75,4.13,62.0,62.0
PRES..MOD,1.53,7.86,6.11,inf,18.33
PRES..,3.2,2.67,3.56,inf,32.0
PRES.PROG.IND,1.5,3.6,18.0,inf,inf
PAST.PROG.IND,1.08,13.0,inf,inf,inf
..,1.67,2.5,inf,inf,inf
past.PERF_PROG.IND,1.0,inf,inf,inf,inf
FUT.PERF.IND,inf,1.0,inf,inf,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf,inf
