eng_TAM,sum
PAST..IND,2867
PRES.PERF.IND,1143
PAST.PERF.IND,661
PRES..IND,392
PRES..MOD,40
PAST..SUBJ,39
FUT..IND,14
PAST.PROG.IND,11
PRES..,11
PRES.PROG.IND,10
past.PERF_PROG.IND,2
..,1
PRES.PERF_PROG.IND,1
