eng_TAM,SBH,LBH
PAST..IND,0.34,2.94
PRES.PERF.IND,0.18,5.68
PAST.PERF.IND,0.4,2.5
PRES..IND,0.17,5.88
PRES..MOD,0.33,3.0
PAST..SUBJ,0.22,4.57
FUT..IND,0.17,6.0
PRES..,0.1,10.0
PAST.PROG.IND,0.22,4.5
PRES.PROG.IND,0.43,2.33
past.PERF_PROG.IND,1.0,1.0
PRES.PERF_PROG.IND,0.0,inf
..,0.0,inf
