esv_TAMsimp,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,TO INF,PAST PERF,FUT going-to,MOD can,MOD may,MOD would,IMPV,MOD could,MOD is to,MOD must,MOD should,PAST PERF PROG,PRES PERF PROG,FUT PROG,MOD let,MOD was to,MOD shall,MOD might,MOD need not,HAB used to,PRES PROG keep,VB
PRES,0.74,-0.29,-0.13,-0.09,-0.09,-0.02,-0.01,-0.03,-0.03,-0.02,-0.0,0.0,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
PAST,-0.48,0.69,-0.07,-0.08,0.04,-0.06,-0.01,-0.01,0.01,-0.02,-0.01,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.31,-0.12,0.6,-0.04,-0.03,-0.03,-0.02,-0.0,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,-0.33,-0.19,-0.13,0.63,-0.05,-0.04,-0.03,0.0,-0.02,0.17,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,-0.44,0.01,0.0,-0.06,0.63,-0.05,-0.03,-0.02,-0.01,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,-0.31,-0.17,-0.07,0.05,-0.05,0.58,-0.01,-0.02,-0.02,0.04,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.28,0.04,-0.08,-0.07,-0.05,-0.04,0.54,-0.02,-0.02,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,-0.36,-0.17,-0.13,0.63,-0.05,-0.05,-0.01,0.02,-0.02,0.04,0.04,-0.0,-0.0,-0.0,-0.0,0.05,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.37,-0.15,-0.12,0.04,-0.04,-0.05,-0.01,0.66,-0.02,-0.01,0.03,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,0.02
PAST PERF,-0.42,-0.04,-0.1,-0.07,0.02,-0.05,-0.02,-0.02,0.72,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0
