,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,TO INF,PAST PERF,FUT going-to,MOD can,MOD may,MOD would,IMPV,MOD could,MOD is to,MOD must,MOD should,PAST PERF PROG,PRES PERF PROG,FUT PROG,MOD let,MOD was to,MOD shall,MOD might,MOD need not,HAB used to,PRES PROG keep,VB
PRES,inf,-160.55,-37.78,-32.67,-51.08,-3.25,-1.07,-14.58,-13.75,-4.94,-1.58,-0.0,-1.18,-0.23,-3.11,-0.61,-0.51,-2.01,-1.73,-0.64,-1.17,-0.0,-0.88,-0.3,0.0,0.0,0.0,0.34,0.0
PAST,-169.97,inf,-8.3,-24.91,4.5,-16.06,-0.79,-0.45,0.94,-5.67,-1.47,-0.26,0.29,-1.06,1.17,-0.85,-0.43,0.0,1.5,-0.22,-0.23,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,-43.04,-12.59,200.79,-2.73,-2.32,-2.05,-3.32,-0.13,-3.21,-2.1,0.0,-0.15,-0.62,-0.4,-0.42,0.0,-0.0,-0.22,0.0,0.28,1.86,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0
FUT,-22.78,-17.2,-10.7,118.76,-4.57,-3.02,-1.83,0.21,-1.13,30.89,0.25,0.0,0.0,0.0,0.0,0.35,1.28,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,-45.71,0.07,0.08,-3.36,127.76,-3.82,-1.85,-1.67,-0.43,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,-18.41,-12.83,-1.99,1.86,-4.2,112.81,-0.49,-0.72,-0.93,3.53,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,-6.78,0.43,-1.55,-2.04,-1.47,-0.74,51.89,-0.38,-0.2,-0.2,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,-10.81,-4.97,-4.4,43.44,-1.49,-1.3,0.0,0.65,-0.2,1.63,2.5,0.0,0.0,0.0,0.0,4.36,2.08,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0
TO INF,-10.61,-3.13,-2.64,0.71,-0.59,-1.13,0.0,59.99,-0.2,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,1.81
PAST PERF,-13.68,-0.31,-1.72,-1.5,0.26,-0.94,-0.39,-0.19,71.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0
MOD is to,-0.34,-1.03,0.0,0.55,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,1.25,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-3.2,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-0.24,-0.85,-0.62,0.68,0.0,0.0,0.0,0.0,0.0,0.0,1.28,4.8,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,-1.72,-0.85,-0.41,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,11.37,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,-0.27,0.0,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.0,-0.65,-0.42,0.0,0.0,0.0,0.0,0.7,0.0,0.0,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,-0.49,-0.42,0.0,0.0,0.0,1.19,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,-0.82,-0.44,-0.22,0.38,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,8.12,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,-1.33,0.0,-0.0,0.0,1.32,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,-0.57,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to,-0.29,0.0,0.61,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VB,-0.29,0.49,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG keep,-0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0
