niv_TAMsimp,TOTAL,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,MOD shall,TO INF,PAST PERF,MOD is to,MOD could,MOD may,MOD should,IMPV,MOD can,PRES PERF PROG,MOD would,MOD was to,MOD let,MOD must,FUT going-to,VB,PRES PROG keep,MOD might,PAST PERF PROG,HAB used to,MOD that VB
PRES,1729,1549,27,70,20,0,22,11,5,3,0,5,0,4,1,3,4,2,1,0,1,0,0,0,1,0,0,0,0
PAST,739,34,596,34,0,35,2,17,1,2,8,0,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
PRES PART,551,113,60,324,1,26,13,4,0,1,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
FUT,274,34,1,17,132,2,21,0,51,7,0,2,0,2,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0
PAST PROG,217,4,68,13,0,125,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PRES PROG,198,66,2,12,1,0,112,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
PRES PERF,101,37,14,2,0,0,2,43,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TO INF,91,7,14,9,5,0,1,0,3,43,0,2,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0
PAST PERF,65,2,18,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FUT going-to,61,11,0,1,35,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,17,3,0,2,1,0,0,0,3,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,17,8,2,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,15,3,4,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
IMPV,14,5,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,12,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,12,3,0,1,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,8,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD should,8,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PAST PERF PROG,7,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF PROG,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
FUT PROG,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MOD was to,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD shall,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD need not,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG keep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
