esv_TAMsimp,FUT,PRES,IMPV,PAST,MOD may,MOD can,MOD must,MOD let,MOD is to,TO INF,MOD shall,MOD would,PRES PART,MOD should,PRES PERF,MOD could,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,?VB,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,MOD that be,FUT PROG,VB,FUT PERF,JJ,??VB
MOD shall,1745,149,506,14,57,44,336,13,294,38,220,6,20,30,3,1,0,0,0,0,6,2,0,0,0,1,3,1,0,1,0,0,0,0
PRES,185,2676,30,70,33,50,13,8,2,33,1,12,64,17,62,0,0,13,1,3,0,0,0,2,1,1,1,0,0,2,0,0,1,0
FUT,2352,244,15,9,14,43,6,7,0,22,2,27,15,9,1,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV,8,25,601,2,15,11,8,11,2,6,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,14,14,101,3,98,5,9,367,9,16,2,3,4,8,2,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,1
MOD may,120,29,15,2,326,50,10,6,6,31,1,0,6,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
PAST,6,41,5,447,1,1,0,5,0,11,0,13,15,0,17,5,1,0,4,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0
MOD can,21,21,0,3,0,270,0,0,0,5,0,0,4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,15,11,0,16,1,0,0,0,0,4,0,120,2,2,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD should,3,28,2,4,1,7,1,0,1,14,1,12,1,83,2,2,5,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD lest,72,14,4,0,16,1,1,1,1,5,2,3,0,0,0,0,6,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,5,26,1,16,2,0,0,1,0,1,0,0,2,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,7,12,1,2,2,1,0,1,1,71,0,1,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,2,32,4,6,0,1,0,1,0,1,0,1,49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD must,1,5,6,0,1,2,38,0,4,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD could,0,0,0,1,0,0,2,0,0,1,0,2,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,0,0,0,4,2,3,0,1,0,4,0,7,0,0,1,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,4,0,1,0,0,0,1,0,10,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
PAST PERF,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
MOD VB,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
PRES shall,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FUT PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES do,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRES can,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
??VB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
