,FUT,PRES,IMPV,PAST,MOD may,MOD can,MOD must,MOD let,MOD is to,TO INF,MOD shall,MOD would,PRES PART,MOD should,PRES PERF,MOD could,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,?VB,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,MOD that be,FUT PROG,VB,FUT PERF,JJ,??VB
MOD shall,2.55,0.1,1.98,0.06,0.31,0.27,11.38,0.09,25.52,0.47,56.14,0.08,0.32,0.65,0.06,0.04,0.0,0.0,0.0,0.0,2.16,0.57,0.0,0.0,0.0,0.72,8.62,1.44,0.0,1.44,0.0,0.0,0.0,0.0
PRES,0.08,63.54,0.07,0.38,0.18,0.34,0.09,0.06,0.02,0.43,0.01,0.19,1.53,0.36,2.08,0.0,0.0,5.81,0.19,0.67,0.0,0.0,0.0,0.89,0.45,0.78,1.04,0.0,0.0,6.24,0.0,0.0,inf,0.0
FUT,21.36,0.24,0.04,0.05,0.09,0.36,0.05,0.06,0.0,0.34,0.03,0.57,0.32,0.23,0.02,0.0,0.0,0.97,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.02,0.11,108.23,0.06,0.48,0.41,0.34,0.48,0.11,0.42,0.08,0.0,0.28,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.04,0.06,1.75,0.09,4.53,0.19,0.41,277.36,0.54,1.24,0.17,0.28,0.4,1.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,19.52,0.0,0.0,0.0,0.0,0.0,0.0,9.69,0.0,inf,0.0,0.0,inf
MOD may,0.47,0.15,0.23,0.07,59.96,2.54,0.5,0.3,0.39,2.89,0.09,0.0,0.67,0.0,0.14,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.02,0.22,0.08,235.5,0.04,0.04,0.0,0.26,0.0,0.95,0.0,1.49,1.87,0.0,2.76,1.74,0.92,0.0,6.87,12.21,0.0,0.0,0.0,11.14,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.13,0.2,0.0,0.18,0.0,252.51,0.0,0.0,0.0,0.75,0.0,0.0,0.83,0.24,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.18,0.2,0.0,2.06,0.13,0.0,0.0,0.0,0.0,1.14,0.0,311.5,0.77,0.94,0.0,5.99,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,0.03,0.57,0.11,0.48,0.13,1.1,0.17,0.0,0.23,4.47,0.32,4.91,0.39,149.8,0.98,2.28,19.47,0.0,55.21,0.0,0.0,0.0,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
