esv_TAMsimp,FUT,PRES,IMPV,MOD may,PAST,MOD let,MOD can,MOD must,MOD is to,TO INF,MOD shall,MOD would,PRES PART,MOD should,PRES PERF,MOD could,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,MOD that be,FUT PROG,FUT PERF,JJ,VB
MOD shall,2.0,23.2,6.93,61.86,251.86,235.07,76.65,10.4,11.95,92.79,15.95,587.67,167.9,117.53,1175.33,3526.0,inf,inf,inf,inf,587.67,inf,inf,inf,3526.0,1175.33,3526.0,inf,3526.0,inf,inf,inf
PRES,17.64,1.23,110.53,89.62,45.42,331.6,65.02,236.86,1658.0,100.48,3316.0,276.33,51.02,195.06,53.48,inf,inf,255.08,3316.0,1105.33,inf,inf,1658.0,3316.0,3316.0,3316.0,inf,inf,1658.0,inf,3316.0,inf
FUT,1.18,11.67,198.47,175.12,270.64,186.06,67.66,496.17,inf,124.04,1488.5,99.23,175.12,330.78,2977.0,inf,inf,744.25,2977.0,inf,496.17,inf,inf,inf,inf,inf,inf,inf,inf,2977.0,inf,inf
MOD let,51.33,48.63,7.33,7.57,184.8,1.66,132.0,66.0,92.4,46.2,462.0,184.8,184.8,84.0,308.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,924.0,inf,inf,inf,924.0
IMPV,88.33,27.41,1.17,41.84,397.5,56.79,66.25,99.38,265.0,113.57,795.0,inf,198.75,88.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,5.07,24.23,50.07,1.87,375.5,75.1,10.88,68.27,125.17,17.47,751.0,inf,107.29,inf,751.0,inf,751.0,inf,inf,inf,751.0,inf,inf,inf,250.33,inf,inf,inf,inf,inf,inf,inf
PAST,98.5,14.41,118.2,591.0,1.31,84.43,591.0,inf,inf,53.73,inf,45.46,39.4,inf,32.83,118.2,591.0,inf,147.75,98.5,inf,inf,197.0,295.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,14.65,16.05,inf,inf,112.33,inf,1.24,inf,inf,56.17,inf,inf,84.25,337.0,inf,42.12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,12.37,16.5,inf,198.0,12.37,inf,inf,inf,inf,39.6,inf,1.45,99.0,99.0,inf,39.6,inf,inf,inf,198.0,inf,inf,inf,198.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,59.0,6.32,88.5,177.0,44.25,inf,25.29,177.0,177.0,12.64,177.0,14.75,177.0,2.11,88.5,88.5,35.4,inf,25.29,inf,inf,88.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest,1.88,9.64,33.75,8.44,inf,67.5,135.0,135.0,135.0,27.0,67.5,45.0,inf,inf,inf,inf,22.5,inf,inf,inf,135.0,19.29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,18.0,10.5,63.0,42.0,63.0,63.0,126.0,inf,126.0,1.59,inf,126.0,21.0,25.2,42.0,126.0,126.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,23.2,4.46,116.0,58.0,7.25,116.0,inf,inf,inf,116.0,inf,inf,58.0,inf,1.9,116.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,51.5,3.22,17.17,inf,17.17,103.0,51.5,inf,inf,103.0,inf,103.0,2.06,inf,103.0,inf,inf,inf,inf,inf,inf,inf,103.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,67.0,13.4,11.17,67.0,inf,inf,33.5,1.68,16.75,67.0,33.5,inf,67.0,67.0,inf,67.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,33.5,inf,inf,inf,inf,inf
MOD could,inf,inf,inf,inf,48.0,inf,inf,24.0,inf,48.0,inf,24.0,inf,48.0,inf,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,inf,inf,21.5,10.75,43.0,14.33,inf,inf,8.6,inf,6.14,inf,inf,43.0,6.14,3.31,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,5.5,inf,22.0,inf,inf,inf,inf,22.0,2.2,22.0,inf,inf,7.33,inf,inf,inf,inf,22.0,inf,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,inf,inf,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,3.75,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,13.0,inf,inf,3.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.0,inf,inf,inf,1.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,inf,2.67,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,8.0,inf,8.0,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be,2.67,inf,inf,inf,inf,8.0,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf
MOD VB,inf,2.33,inf,3.5,inf,inf,7.0,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,inf,inf,inf,2.33,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.33,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD,4.0,4.0,4.0,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES shall,3.0,3.0,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf
PRES do,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
IMPV not,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES can,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
