,FUT,PRES,IMPV,PAST,MOD may,MOD can,MOD must,MOD let,MOD is to,TO INF,MOD shall,MOD would,PRES PART,MOD should,PRES PERF,MOD could,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,?VB,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,MOD that be,FUT PROG,VB,FUT PERF,JJ,??VB
MOD shall,117.47,-292.53,27.47,-61.07,-21.22,-20.82,117.96,-37.23,133.07,-5.28,113.53,-18.63,-7.07,-1.43,-15.65,-7.38,-3.06,-2.42,-1.99,-1.99,0.67,-0.13,-1.13,-0.91,-0.91,0.0,1.26,-0.0,-0.24,-0.0,0.0,0.0,0.0,0.0
PRES,-inf,inf,-117.73,-16.35,-32.35,-14.89,-34.44,-39.42,-36.5,-5.94,-26.22,-11.9,2.16,-4.93,4.72,-8.18,-2.79,3.88,-1.04,-0.11,-1.54,-1.32,-0.88,0.0,-0.16,0.0,-0.0,0.0,0.0,0.83,0.0,0.0,0.61,0.0
FUT,inf,-123.39,-110.1,-49.41,-38.35,-12.03,-33.83,-32.05,-33.08,-7.24,-19.84,-2.26,-5.97,-6.91,-13.71,-6.66,-2.29,0.0,-1.48,-1.48,1.31,-0.84,-0.64,-0.66,-0.43,-0.23,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,-112.82,-54.24,inf,-11.53,-2.45,-2.78,-3.11,-1.87,-5.17,-1.6,-3.91,-4.62,-1.85,-0.55,-3.4,-1.29,-0.2,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-97.65,-62.03,5.58,-9.88,27.94,-5.5,-2.38,inf,-1.16,0.41,-2.95,-1.85,-1.19,-0.0,-1.43,-1.3,-0.2,-0.21,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.31,0.0,0.0,1.31
MOD may,-14.03,-40.53,-11.66,-9.83,319.43,7.32,-1.62,-3.13,-1.84,5.92,-3.24,-3.9,-0.32,-3.04,-1.97,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,-94.89,-29.1,-18.86,inf,-9.52,-7.96,-8.09,-3.45,-6.16,0.0,-4.25,0.78,1.52,-2.86,3.39,0.65,0.0,0.0,2.28,4.29,0.0,0.0,0.0,2.26,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,-33.03,-18.25,-14.51,-3.75,-5.96,inf,-4.38,-4.4,-3.35,-0.16,-2.32,-1.96,0.0,-0.71,-1.45,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,-14.61,-9.97,-7.64,1.98,-2.12,-2.46,-2.12,-2.13,-1.62,0.11,-1.1,188.92,0.0,0.0,-0.56,2.67,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,-26.5,-2.21,-5.16,-0.82,-2.13,0.16,-1.32,-2.14,-0.87,4.98,-0.42,4.75,-0.28,119.21,0.0,0.64,4.82,0.0,9.01,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,5.45,-4.48,-2.31,-2.51,3.74,-1.01,-0.87,-0.87,-0.57,0.71,0.0,0.33,-0.57,-0.38,-0.39,0.0,6.87,0.0,0.0,0.0,0.88,0.94,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
