,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
,prose,instruction,prose,instruction,prose,list,instruction,prose,poetry,list,prose,poetry,instruction,prose,prophetic,list,prose,list,prose,list
,Q,Q,Q,D,N,N,?,D,Q,Q,N,Q,N,?,Q,Q,?,N,D,?
FUT,62.36,-34.91,0.08,-2.57,-5.57,-3.28,-3.1,-2.16,-0.14,-0.82,-0.82,-0.42,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.31,-0.84,10.38,-4.6,-5.15,-3.08,-0.17,-0.65,1.28,3.31,-0.61,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,-14.21,44.44,-10.94,-0.36,-4.95,-2.87,-1.08,-1.73,-0.6,0.35,-0.61,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-21.29,34.74,-3.74,-1.35,-3.36,-1.87,6.88,-1.15,-0.41,0.19,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,-0.16,-1.43,2.15,12.72,-2.22,-1.89,0.35,-1.15,0.19,-0.41,-0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,26.11,-16.61,1.42,-2.97,-2.6,-1.51,-1.32,-0.96,-0.2,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,-17.65,17.16,-5.37,7.0,-2.21,-1.32,4.97,-0.77,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-20.78,34.34,-3.87,0.09,-1.68,-0.95,0.14,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
