period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
genre,prose,instruction,prose,instruction,prose,list,instruction,prose,poetry,list,prose,poetry,instruction,prose,prophetic,list,prose,list,prose,list
domain2,Q,Q,Q,D,N,N,?,D,Q,Q,N,Q,N,?,Q,Q,?,N,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
HAB used to ~ PAST,-0.42,-0.39,-0.06,-0.03,0.72,-0.02,-0.02,0.24,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.42,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,0.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25
MOD shall ~ PAST,-0.42,0.36,-0.06,0.22,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD lest,0.25,-0.06,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ MOD would,-0.42,-0.39,-0.06,-0.03,0.64,-0.02,-0.02,0.32,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.08,-0.39,0.27,-0.03,-0.03,-0.02,-0.02,-0.01,0.33,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD would,-0.08,-0.39,-0.06,-0.03,0.64,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,-0.42,0.27,-0.06,0.3,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,0.25,-0.06,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.42,-0.39,0.94,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,0.25,-0.06,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,0.25,-0.06,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.08,-0.39,-0.06,-0.03,0.31,-0.02,-0.02,-0.01,-0.01,-0.01,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.42,-0.39,-0.06,-0.03,0.64,-0.02,-0.02,0.32,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,-0.08,-0.06,-0.06,0.3,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.08,-0.39,0.27,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
