eng_TAMsimp,TOTAL,"('SBH', 'prose', 'Q')","('SBH', 'instruction', 'Q')","('LBH', 'prose', 'Q')","('SBH', 'instruction', 'D')","('SBH', 'prose', 'N')","('SBH', 'list', 'N')","('SBH', 'instruction', '?')","('SBH', 'prose', 'D')","('SBH', 'poetry', 'Q')","('SBH', 'list', 'Q')","('LBH', 'prose', 'N')","('LBH', 'poetry', 'Q')","('SBH', 'instruction', 'N')","('SBH', 'prose', '?')","('SBH', 'prophetic', 'Q')","('LBH', 'list', 'Q')","('LBH', 'prose', '?')","('LBH', 'list', 'N')","('LBH', 'prose', 'D')","('LBH', 'list', '?')"
FUT,437,343,60,27,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD shall,410,178,147,58,1,0,0,5,2,5,8,0,6,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,388,93,281,0,9,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,278,44,207,4,3,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0
PRES,271,110,90,27,34,1,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0
IMPV,222,169,31,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD shall,200,28,137,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,148,11,129,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST,122,16,3,10,0,52,2,0,10,4,0,10,3,3,4,1,0,2,1,1,0
MOD may,58,32,19,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,52,2,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,52,33,12,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,35,14,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,27,15,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,24,6,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,23,14,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,22,13,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,22,9,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,21,3,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,21,5,0,0,0,6,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0
PRES ~ PRES PART,20,6,7,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TO INF,17,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
