,prophetic,prose,prose,poetry,instruction,list,prophetic,instruction,poetry,list
,Q,Q,N,Q,Q,N,N,N,N,Q
1,-10.32,2.45,9.3,-1.84,-2.31,6.23,-0.08,-0.15,0.09,0.66
0,10.32,-2.45,-9.3,1.84,2.31,-6.23,0.08,0.15,-0.09,-0.66
