eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,0.08,0.05,-0.17,0.1,-0.05,-0.0,0.01,-0.01,-0.0,0.0,-0.0
PAST,0.03,0.0,0.17,-0.13,0.01,-0.03,-0.03,-0.01,-0.0,-0.0,-0.0
PRES PART,-0.02,0.06,0.07,-0.06,0.01,-0.0,-0.04,-0.01,0.0,0.0,-0.0
PRES PROG,-0.13,-0.04,-0.06,0.11,-0.02,0.04,0.05,0.07,-0.0,-0.0,-0.0
PRES ~ PRES PART,0.1,0.02,-0.06,-0.03,-0.06,0.02,0.0,0.02,-0.0,-0.0,-0.0
FUT,-0.07,-0.06,-0.1,0.06,0.19,-0.03,0.04,-0.02,-0.0,-0.0,-0.0
PAST PROG,-0.17,-0.06,0.4,-0.14,0.05,-0.04,-0.03,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.02,-0.09,-0.09,0.05,0.02,0.04,0.04,0.04,-0.0,-0.0,0.01
PAST ~ PAST PROG,-0.1,-0.04,0.38,-0.13,-0.01,-0.02,-0.04,-0.02,-0.0,-0.0,-0.0
PAST ~ PRES PART,0.13,-0.02,0.18,-0.13,-0.05,-0.03,-0.04,-0.02,-0.0,-0.0,-0.0
PAST ~ PRES,0.08,0.03,-0.11,-0.02,0.06,0.02,-0.02,-0.02,-0.0,-0.0,-0.0
FUT ~ PRES,-0.13,-0.02,-0.03,-0.06,0.14,0.07,0.04,0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,-0.1,0.03,-0.01,0.1,-0.05,0.11,-0.04,-0.03,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.08,0.04,-0.13,0.03,0.05,-0.0,0.05,0.05,-0.0,-0.0,-0.0
PRES PERF,0.1,-0.06,-0.08,-0.02,-0.01,0.03,0.03,0.01,-0.0,-0.0,-0.0
TO INF,-0.09,-0.04,-0.05,0.09,0.06,0.03,-0.04,0.04,-0.0,-0.0,-0.0
PAST PERF,-0.16,-0.13,0.42,-0.14,0.06,-0.04,-0.04,0.04,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,-0.09,-0.02,0.42,-0.11,-0.1,-0.04,-0.04,-0.01,-0.0,-0.0,-0.0
FUT ~ FUT going-to,-0.06,-0.1,-0.09,0.0,0.22,-0.04,0.05,-0.0,-0.0,-0.0,0.03
PAST ~ PRES PERF,0.1,-0.12,-0.15,-0.08,0.1,0.09,0.03,-0.0,-0.0,0.03,-0.0
FUT ~ PRES PROG,-0.03,-0.06,-0.15,0.05,0.07,0.02,0.09,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PROG,-0.12,-0.09,-0.01,0.06,0.01,0.02,0.03,0.07,-0.0,0.03,-0.0
PAST ~ PAST PERF,-0.05,-0.11,0.32,-0.14,0.03,-0.04,-0.04,0.04,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.19,0.22,0.04,-0.08,0.13,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ TO INF,-0.15,-0.07,-0.15,0.03,-0.04,0.46,-0.04,-0.03,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.07,-0.07,0.1,0.19,-0.12,-0.04,-0.04,-0.03,0.08,-0.0,-0.0
MOD could ~ PAST,0.14,0.03,0.13,-0.14,-0.03,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
FUT going-to ~ PRES PROG,-0.14,-0.15,-0.06,0.04,0.33,-0.04,0.05,-0.03,-0.0,-0.0,-0.0
FUT going-to ~ PRES,-0.04,-0.15,-0.06,0.22,0.15,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES ~ TO INF,0.08,0.15,-0.15,0.06,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,0.1
FUT ~ PRES PART,-0.32,0.29,-0.15,0.31,-0.12,0.07,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.09,0.07,0.19,-0.14,0.1,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
IMPV ~ PRES,0.18,-0.15,0.1,-0.14,-0.12,-0.04,0.09,0.09,-0.0,-0.0,-0.0
MOD can ~ PRES,0.11,-0.15,-0.0,0.15,0.02,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD could,0.11,-0.15,-0.0,0.15,0.02,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.32,-0.01,-0.15,0.0,-0.12,0.39,0.25,-0.03,-0.0,-0.0,-0.0
PRES PERF ~ PRES PROG,0.02,0.02,-0.15,0.03,0.04,-0.04,0.13,-0.03,-0.0,-0.0,-0.0
IMPV,-0.12,-0.15,-0.15,-0.14,0.08,-0.04,0.16,0.37,-0.0,-0.0,-0.0
MOD shall ~ PRES,0.08,-0.15,-0.15,0.26,-0.12,-0.04,0.16,-0.03,-0.0,-0.0,-0.0
PAST PERF ~ PAST PROG,-0.32,0.05,0.05,-0.14,0.48,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD can,0.28,0.05,-0.15,-0.14,-0.12,-0.04,0.16,-0.03,-0.0,-0.0,-0.0
MOD should,-0.32,-0.15,0.25,0.06,0.08,-0.04,-0.04,0.17,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,-0.32,0.1,-0.15,-0.14,-0.12,-0.04,0.71,-0.03,-0.0,-0.0,-0.0
MOD would,0.18,-0.15,-0.15,0.11,0.13,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.07,-0.15,-0.15,-0.14,-0.12,0.21,-0.04,0.47,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.07,0.1,0.1,-0.14,-0.12,-0.04,-0.04,0.22,-0.0,-0.0,-0.0
PAST ~ PRES PROG,-0.32,-0.15,-0.15,0.36,0.13,0.21,-0.04,-0.03,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,0.43,-0.15,-0.15,-0.14,-0.12,-0.04,0.21,-0.03,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,0.18,-0.15,0.35,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PAST PROG ~ PRES,0.18,-0.15,0.1,-0.14,-0.12,0.21,-0.04,-0.03,-0.0,-0.0,-0.0
PRES PERF PROG ~ PRES PROG,-0.07,-0.15,-0.15,-0.14,0.38,-0.04,0.21,-0.03,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.32,0.1,0.1,0.11,-0.12,-0.04,0.21,-0.03,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.32,0.1,0.6,-0.14,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
MOD can ~ MOD shall,0.02,-0.15,-0.15,-0.14,-0.12,0.62,-0.04,-0.03,-0.0,-0.0,-0.0
FUT ~ MOD is to,-0.32,-0.15,-0.15,0.53,-0.12,-0.04,0.3,-0.03,-0.0,-0.0,-0.0
MOD should ~ TO INF,-0.32,0.18,0.19,0.19,-0.12,-0.04,-0.04,-0.03,-0.0,-0.0,-0.0
PRES ~ PRES PERF PROG,0.02,-0.15,-0.15,0.19,-0.12,-0.04,0.3,-0.03,-0.0,-0.0,-0.0
