period,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
genre,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
domain2,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
eng_TAM,,,,,,,,,,,,,,,,,,,,,,
PAST..IND,4.3,2.75,7.94,26.3,51.2,22.22,42.16,34.13,42.79,38.23,42.16,57.34,98.86,220.54,191.13,159.28,2867.0,1433.5,955.67,358.38,1433.5,2867.0
PRES.PERF.IND,1.4,228.6,inf,7.01,10.49,inf,95.25,1143.0,inf,inf,inf,inf,190.5,103.91,571.5,inf,163.29,190.5,190.5,inf,1143.0,inf
PAST.PERF.IND,9.72,1.82,4.41,55.08,inf,36.72,165.25,110.17,50.85,220.33,82.62,110.17,330.5,inf,132.2,inf,inf,inf,inf,inf,330.5,661.0
PRES..IND,1.43,98.0,196.0,7.54,11.2,inf,32.67,392.0,inf,inf,inf,inf,196.0,78.4,inf,inf,196.0,196.0,inf,inf,inf,inf
PRES..MOD,5.0,2.11,10.0,40.0,inf,40.0,40.0,40.0,13.33,inf,inf,40.0,inf,inf,inf,inf,inf,inf,inf,inf,40.0,inf
PAST..SUBJ,2.29,2.79,9.75,19.5,inf,inf,inf,39.0,inf,inf,inf,inf,inf,39.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT..IND,1.56,inf,inf,7.0,4.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,3.67,1.57,inf,inf,inf,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,5.5,1.83,inf,5.5,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,1.43,inf,inf,3.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
past.PERF_PROG.IND,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
..,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
