period,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
genre,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
domain2,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
eng_TAM,,,,,,,,,,,,,,,,,,,,,,
PAST..IND,-0.29,0.18,0.06,-0.06,-0.04,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0.01,-0.0,0.0,0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
PRES.PERF.IND,0.45,-0.36,-0.13,0.1,0.07,-0.04,-0.01,-0.02,-0.02,-0.02,-0.02,-0.01,-0.0,0.0,-0.0,-0.0,0.01,0.0,0.0,-0.0,-0.0,-0.0
PAST.PERF.IND,-0.3,0.31,0.14,-0.06,-0.04,-0.0,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
PRES..IND,0.37,-0.29,-0.1,0.07,0.05,-0.03,0.01,-0.02,-0.02,-0.02,-0.02,-0.01,-0.0,0.01,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
PRES..MOD,-0.16,0.2,-0.0,-0.04,-0.04,-0.0,0.01,0.01,0.06,-0.02,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0
PAST..SUBJ,0.08,0.08,0.0,-0.02,-0.04,-0.03,-0.02,0.01,-0.02,-0.02,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND,0.28,-0.28,-0.1,0.08,0.18,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..,-0.09,0.36,-0.1,-0.07,-0.04,-0.03,-0.02,0.07,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND,-0.18,0.26,-0.1,0.12,-0.04,0.06,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PROG.IND,0.34,-0.28,-0.1,0.23,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
past.PERF_PROG.IND,-0.36,0.22,0.4,-0.07,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF_PROG.IND,0.64,-0.28,-0.1,-0.07,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
..,-0.36,0.72,-0.1,-0.07,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
