period,SBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,LBH
genre,prose,prose,prose,prose,instruction,poetry,list,instruction,list,poetry,prophetic,list,poetry,list
domain2,Q,N,N,Q,Q,Q,N,N,N,Q,Q,Q,N,Q
eng_TAM,,,,,,,,,,,,,,
PAST..IND,0.26,0.41,0.14,0.04,0.02,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0
PRES.PERF.IND,0.72,0.0,0.0,0.15,0.1,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0
PAST.PERF.IND,0.11,0.58,0.24,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
PRES..IND,0.71,0.01,0.01,0.14,0.09,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
PAST..SUBJ,0.45,0.37,0.11,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.22,0.53,0.11,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03
FUT..IND,0.64,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,0.27,0.64,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
