clause_rela,prec_part,sum
SubArg,_MJ_,3
Main,_W_W_B_,3
SubAdv,_>M_MN_,3
Main,_LMH_ZH_,3
SubAdv,_W_>M_G>L[_,3
SubAdv,_W_>L_,3
Main,_W_TMJD/_,3
SubMod,_ZW_,3
Main,_W_>Z_,3
Main,_W_B_ZH_,3
Main,_W_GM_>T_,3
SubAdv,_<L_>CR_,3
Main,_W_>T_Z>T_,3
SubAdv,_W_<M_,3
Main,_W_L_W_L_,3
Main,_W_MDW<_,3
SubAdv,_W_<D_,3
Main,_W_W_W_W_,3
SubArg,_KJ_>BD[_,3
Main,_MN_W_<D_,2
Main,_NYL[_,2
Main,_B_>LH_,2
SubAdv,_W_W_,2
Main,_B_B_L_B_,2
Main,_MN_W_W_,2
Main,_MN_W_MN_,2
Main,_B_HM_,2
Main,_MN_MJ_,2
Main,_MN_B_,2
Main,_B_HM_W_B_HJ>_,2
Main,_B_JD<[_,2
Main,_MN_<M_,2
Main,_PQD[_,2
Main,_MJ_B_,2
SubAdv,_W_>M_MWR[_,2
Main,_PT</_,2
Main,_B_ZH_W_B_,2
Main,_L_W_,2
Main,_HW>_B_,2
SubAdv,_W_>M_PRR[_,2
Main,_HNH_W_,2
Main,_HN_L_,2
Main,_CTH[_,2
Main,_L_L_W_L_,2
Main,_BQR=/_,2
Main,_B_ZH_,2
Main,_>W_MH_,2
Main,_HN_K_,2
Main,_BKH[_,2
Main,_RG</_,2
Main,_RBH[_,2
SubAdv,_W_>P_KJ_,2
SubAdv,_>M_PQD[_,2
Main,_QWM[_,2
SubAdv,_<L_,2
Main,_HNH_<L_,2
SubAdv,_KJ_NTN[_,2
SubAdv,_KJ_B_ZH_,2
Main,_ZKR[_,2
SubAdv,_KJ_CM_,2
SubArg,_B_,2
SubArg,_>JK_,2
SubAdv,_KJ_RBH[_,2
SubAdv,_KJ_PT>M_,2
SubAdv,_J<N/_>CR_,2
SubAdv,_K_,2
SubAdv,_KJ_>M_>L_,2
SubAdv,_LW_,2
SubAdv,_KJ_BRK[_,2
SubAdv,_>M_>L_,2
Main,_W_>WLM_,2
SubAdv,_KJ_B_W_B_,2
SubAdv,_MN_,2
SubAdv,_>L_>CR_,2
SubAdv,_>M_>T_,2
SubAdv,_KJ_H=_>MNM=_,2
SubAdv,_KJ_MLV[_,2
SubAdv,_KJ_QNH[_,2
SubAdv,_>M_K_,2
SubAdv,_>PS/_KJ_,2
SubAdv,_>M_KN_,2
Main,_W_XJH[_,2
SubAdv,_KJ_>XR/_,2
SubAdv,_<QB/_,2
SubAdv,_>M_CWB[_,2
Main,_JKX[_,2
Main,_NGD/_,2
SubMod,_>CR_B_,2
Main,_W_MN_>T==_,2
Main,_W_>L_Z>T_,2
Main,_<D_MH_,2
Main,_>T_L_,2
Main,_W_W_<L_,2
Main,_W_B_HM_,2
SubMod,_MN_,2
Main,_W_DRK/_,2
Main,_>P_B_,2
Main,_<L_KN_L_K_,2
Main,_W_MN_L_,2
Main,_>JKKH_,2
Main,_W_L_>LH_,2
Main,_W_LKN_,2
Main,_>J_MN_ZH_,2
Main,_W_>M_,2
Main,_W_>T_>LH_,2
Main,_W_KLJL/_,2
Main,_W_>T_ZH_,2
Main,_H=_L_ZH_,2
Main,_<L_MH_,2
Main,_W_B_HJ>_,2
Main,_W_PH_,2
Main,_>M_B_,2
Main,_<L_B_,2
Main,_>M_NTN[_,2
Main,_W_>T_B_,2
Main,_W_>T_W_>T_W_>T_W_>T_,2
Main,_<FR[_,2
SubAdv,_W_>M_>KL[_,2
Main,_W_>T_MJ_,2
Main,_<FH[_,2
Main,_W_B_W_,2
Main,_W_MN_W_MN_,2
Main,_W_>L_ZH_,2
Main,_W_MTJ_,2
Main,_H=_>T_,2
Main,_GM_CM_,2
Main,_LKN_L_,2
Main,_K_W_K_,2
Main,_K_MN_,2
SubAdv,_W_>M_TXT/_,2
SubAdv,_W_>M_L_,2
Main,_K_>CR_,2
Main,_GM_BWC[_,2
SubArg,_MN_>CR_,2
Main,_>T_ZH_,2
Main,_H=_K_ZH_,2
SubAdv,_W_>M_MN_,2
Main,_W_KKH_,2
Main,_H=_LHN_,2
Main,_LW_,2
Main,_GM_GM_,2
Main,_DRK/_,2
Main,_<L_KN_<L_,2
Main,_>K_B_Z>T_,2
Main,_H=_GM_,2
Main,_>K_W_,2
Main,_W_HJH[_,2
Main,_W_HJ>_,2
Main,_W_GM_B_,2
Main,_W_MXR/_,2
SubAdv,_W_>M_>T_,2
Main,_W_GLH[_,2
Main,_BDD/_,2
SubArg,_KJ_L_,2
Main,_W_JXDW_,2
Main,_W_RNN[_,1
SubAdv,_PN_B_,1
Main,_W_W_W_B_,1
Main,_W_T<B[_,1
Main,_W_STR[_,1
Main,_W_SBJB/_L_,1
Main,_W_RP>[_,1
Main,_W_RBH[_,1
Main,_W_RG</_,1
SubAdv,_W_ZH_,1
Main,_W_PT>M_,1
Main,_W_PQD[_,1
Main,_W_MN_<WD/_,1
Main,_W_MKR[_,1
Main,_W_W_MN_W_<D_,1
SubAdv,_ZH_,1
Main,_W_Z>T_CNJ/_,1
Main,_W_W_MN_L_,1
Main,_W_W_MN_,1
Main,_W_MN_ZH_W_MN_ZH_,1
Main,_W_K_MN_,1
Main,_W_MN_Z>T_,1
Main,_W_HW>_>W_HW>_,1
Main,_W_MN_W_HL>H_,1
Main,_W_MN_W_<D_,1
Main,_W_MN_MN_,1
SubAdv,_MN_L_>CR_,1
Main,_W_ZWLH/_,1
SubAdv,_MN_C_,1
Main,_XNN[_,1
Main,_W_NW<[_,1
Main,_W_NXC[_,1
Main,_W_NYL[_,1
Main,_W_W_W_W_W_>T==_B_,1
Main,_W_LKD[_,1
Main,_W_LMH_ZH_,1
Main,_W_K_KN_,1
SubArg,_HJH[_,1
Main,_XRM[_,1
Main,_W_L_ZH_,1
Main,_W_L_W_L_W_L_W_L_,1
Main,_YNP[_,1
Main,_W_L_MN_,1
Main,_W_L_L_<L_,1
Main,_W_L_L_,1
Main,_W_L_B_,1
Main,_W_L_>XR/_,1
Main,_W_L_<L_,1
SubArg,_KJ_<L_>LH_,1
SubAdv,_MN_W_MN_,1
SubAdv,_>M_CKX[_,1
Main,_W_>L_K_,1
Main,_W_>L_B_,1
Main,_W_MHRH/_,1
Main,_W_MH_ZH_,1
Main,_W_K_HGH[_,1
SubArg,_KJ_<L_L_,1
Main,_W_K_B_,1
SubArg,_BGD[_,1
Main,_W_KN_L_W_L_B_,1
SubArg,_>T_MJ_,1
Main,_W_KMW_,1
SubArg,_>T_>CR_B_,1
SubAdv,_<D_KJ_,1
Main,_W_KCL[_,1
SubAdv,_<M_C_,1
Main,_W_JCB[_,1
Main,_W_JC<[_,1
Main,_W_J<L[_,1
Main,_W_K_W_,1
Main,_W_LM<N_,1
Main,_XRC[_,1
Main,_W_MSS[_,1
SubAdv,_>M_>T_ZH_,1
SubAdv,_TXT/_,1
Main,_W_GM_>L_,1
Main,_W_GM_MN_,1
Main,_W_GM_L_,1
Main,_W_GM_CLL=[_,1
Main,_W_GM_B_HMH_,1
SubAdv,_>CR_B_,1
Main,_W_GM_>T_W_>T_,1
