clause_rela,prec_part,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
Main,Ø,-0.01,-0.07,0.09,0.0,0.01,0.06,0.0,-0.02,-0.0,0.0,-0.01,-0.01,-0.0,-0.0,0.01,-0.01,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
Main,_W_,0.08,-0.12,0.01,0.03,-0.01,0.03,-0.01,-0.0,0.01,-0.01,0.02,0.0,-0.0,0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SubMod,_>CR_,-0.18,0.32,-0.05,-0.03,-0.04,-0.05,0.01,0.01,-0.03,0.03,-0.01,0.01,-0.01,0.0,-0.01,0.02,0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_KJ_,-0.04,0.27,-0.05,-0.03,-0.04,-0.05,-0.02,0.0,-0.02,-0.02,-0.0,-0.0,-0.01,-0.0,-0.01,0.03,0.01,-0.0,0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Main,_B_,0.06,0.06,-0.04,-0.02,0.03,-0.03,0.01,-0.01,0.01,0.02,-0.02,-0.01,-0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_W_B_,0.05,-0.0,0.03,-0.04,0.03,-0.03,0.01,-0.02,0.02,0.02,-0.01,0.0,-0.02,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,_>M_,-0.14,0.23,-0.05,-0.03,-0.03,-0.05,-0.01,-0.0,-0.03,-0.02,-0.02,-0.0,0.0,0.05,0.02,0.03,-0.01,0.01,-0.01,0.02,0.0,0.03,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_H=_,-0.27,-0.11,-0.05,-0.05,-0.05,-0.04,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.01,-0.01,-0.0,-0.01,0.01,0.23,-0.01,0.19,0.01,0.12,-0.0,0.03,-0.0,0.1,-0.0,-0.0,-0.0,0.04,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_L_,0.1,0.08,-0.05,-0.01,-0.0,-0.02,0.02,-0.03,-0.01,0.01,-0.02,-0.0,0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,_MN_,-0.06,0.08,-0.05,-0.01,0.05,-0.02,0.07,-0.01,0.02,0.03,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
