cl_args,mother_verbtype,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
RV,Ø,0.16,-0.02,-0.17,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,qtl,-0.12,0.05,0.17,-0.08,-0.0,0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
AV,qtl,0.02,-0.09,0.15,-0.08,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,Ø,-0.16,0.06,0.16,-0.07,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,Ø,-0.09,-0.08,0.24,-0.07,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,wayq,0.18,-0.22,-0.2,0.25,-0.01,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
_W_SV,wayq,0.46,-0.25,-0.21,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
_W_SV,qtl,0.15,-0.08,-0.03,-0.03,-0.01,0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
CV,qtl,-0.02,0.03,-0.09,0.1,0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
RV,wayq,-0.13,-0.23,-0.21,0.59,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
CV,yqtl,-0.19,0.2,0.04,-0.06,0.0,-0.01,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
RV,qtl,0.15,-0.11,-0.18,0.16,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AV,wayq,0.21,-0.17,0.04,-0.07,-0.0,-0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,wayq,0.06,0.09,-0.1,-0.05,-0.01,-0.0,-0.01,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,qtl,0.01,-0.03,0.09,-0.07,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,qtl,0.28,-0.04,-0.15,-0.07,-0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,yqtl,-0.24,-0.04,0.34,-0.08,0.03,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,Ø,0.07,-0.0,-0.01,-0.06,0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
_W_SV,Ø,0.27,-0.14,-0.09,-0.04,-0.0,-0.01,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
CV,Ø,-0.12,0.13,-0.0,-0.01,-0.0,0.0,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
RV,yqtl,-0.08,0.26,-0.08,-0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,wayq,0.52,-0.24,-0.2,-0.07,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,wqtl,-0.04,0.25,-0.17,-0.04,-0.01,-0.01,0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AV,Ø,0.4,-0.15,-0.15,-0.08,0.0,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OV,qtl,0.17,-0.05,-0.05,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OV,qtl,0.02,0.07,-0.02,-0.07,0.0,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,impv,-0.36,0.31,0.15,-0.07,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
