eng_TAM,sum
PAST..IND,4039
PRES.PERF.IND,2350
PRES..IND,2029
PAST.PERF.IND,777
FUT..IND,69
PAST..SUBJ,62
PRES..MOD,53
PRES..,32
PRES.PROG.IND,18
PAST.PROG.IND,12
..,5
FUT.PERF.IND,2
past.PERF_PROG.IND,2
PRES.PERF_PROG.IND,1
