genre,domain2,TOTAL,1,0
prophetic,Q,1054,753,301
prose,Q,931,590,341
prose,N,782,545,237
poetry,Q,603,503,100
instruction,Q,209,160,49
prophetic,N,93,56,37
list,N,42,27,15
instruction,N,20,18,2
list,Q,9,7,2
poetry,N,2,2,0
