,prophetic,prose,prose,poetry,instruction,prophetic,list,instruction,list,poetry
,Q,Q,N,Q,Q,N,N,N,Q,N
1,0.11,-8.31,-0.45,13.54,1.15,-1.57,-0.41,1.09,-0.0,-0.0
0,-0.11,8.31,0.45,-13.54,-1.15,1.57,0.41,-1.09,0.0,0.0
