,prophetic,prose,prose,poetry,instruction,prophetic,list,instruction,list,poetry
,Q,Q,N,Q,Q,N,N,N,Q,N
1,1.03,0.62,0.92,2.29,1.35,0.61,0.73,3.68,1.43,inf
0,0.97,1.61,1.09,0.44,0.74,1.64,1.37,0.27,0.7,0.0
