eng_simp_agree,TOTAL,"('prophetic', 'Q')","('prose', 'Q')","('prose', 'N')","('poetry', 'Q')","('instruction', 'Q')","('prophetic', 'N')","('list', 'N')","('instruction', 'N')","('list', 'Q')","('poetry', 'N')"
1,2661,753,590,545,503,160,56,27,18,7,2
0,1084,301,341,237,100,49,37,15,2,2,0
