,Q,N,?,D
PAST..IND,-253.44,232.65,16.91,-1.66
PRES.PERF.IND,inf,-319.88,-34.13,0.48
PRES..IND,142.71,-247.24,2.78,1.39
PAST.PERF.IND,-184.5,211.03,-1.44,-0.27
FUT..IND,5.05,-8.46,0.0,1.08
PAST..SUBJ,-0.1,0.62,-1.46,0.63
PRES..MOD,-2.84,3.32,0.11,0.0
PRES..,0.07,0.16,-0.14,0.0
PRES.PROG.IND,3.1,-1.95,-0.2,0.0
PAST.PROG.IND,-1.39,1.58,0.23,0.0
..,0.17,0.0,0.0,0.0
past.PERF_PROG.IND,-0.95,1.19,0.0,0.0
FUT.PERF.IND,0.26,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.0,0.0,0.0,0.0
