eng_TAM,Q,N,?,D
PAST..IND,1960,1729,379,48
PRES.PERF.IND,2258,14,42,40
PRES..IND,1823,28,170,41
PAST.PERF.IND,143,592,38,9
FUT..IND,62,0,4,3
PAST..SUBJ,40,20,0,2
PRES..MOD,25,26,4,0
PRES..,22,9,1,0
PRES.PROG.IND,18,0,0,0
PAST.PROG.IND,5,7,1,0
..,4,1,0,0
past.PERF_PROG.IND,0,2,0,0
FUT.PERF.IND,2,0,0,0
PRES.PERF_PROG.IND,1,0,0,0
