,sum
PAST,0.91
PRES,0.02
PRES PERF,0.02
PRES PART,0.02
PAST PERF,0.02
TO INF,0.01
FUT,0.0
PAST PROG,0.0
MOD would,0.0
MOD could,0.0
IMPV,0.0
PRES PROG,0.0
MOD can,0.0
MOD let,0.0
MOD may,0.0
MOD must,0.0
VB,0.0
PAST PERF PROG,0.0
MOD might,0.0
PRES PERF PROG,0.0
??VB,0.0
MOD is to,0.0
