,sum
PAST,11881
PRES,275
PRES PERF,251
PRES PART,203
PAST PERF,200
?PAST,184
TO INF,93
PAST PROG,41
FUT,37
?PRES,30
?VB,20
MOD would,15
IMPV,10
MOD could,10
?TO INF,7
?FUT,6
PRES PROG,5
MOD let,4
??PAST,4
?PAST wh-question,3
?PAST did not,3
MOD may,3
?PRES PERF,3
MOD must,2
?PAST question,2
MOD can,2
PAST PERF PROG,1
?MOD would,1
?PAST PERF,1
PRES PERF PROG,1
MOD is to,1
??VB,1
?PAST do-support,1
MOD might,1
