genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,0.3,0.42,0.21,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND ~ PRES.PERF.IND,0.38,0.17,0.33,0.01,0.06,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PERF.IND,0.08,0.08,0.04,0.63,0.01,0.03,0.05,0.03,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..IND,0.27,0.17,0.36,0.04,0.07,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..IND,0.67,0.1,0.16,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0
FUT..IND ~ PRES.PERF.IND,0.78,0.06,0.08,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..,0.11,0.08,0.15,0.58,0.01,0.04,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..MOD,0.75,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PRES.PERF.IND,0.19,0.67,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PROG.IND,0.07,0.13,0.03,0.63,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
PRES.. ~ PRES.PERF.IND,0.14,0.5,0.32,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
