genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,-0.01,0.26,0.01,-0.22,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0
PRES..IND ~ PRES.PERF.IND,0.09,-0.07,0.16,-0.19,0.04,-0.01,-0.01,-0.01,0.0,-0.01,-0.0,0.01,-0.01,0.0,0.0,0.0,-0.0,-0.0,-0.0
PAST..IND ~ PAST.PERF.IND,-0.28,-0.18,-0.19,0.56,-0.03,0.02,0.04,0.03,-0.01,0.03,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
PAST..IND ~ PRES..IND,-0.04,-0.06,0.17,-0.14,0.04,-0.01,-0.01,-0.0,0.01,-0.0,0.03,-0.0,0.01,0.0,0.01,0.0,-0.0,-0.0,-0.0
FUT..IND ~ PRES..IND,0.38,-0.13,-0.04,-0.18,-0.03,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,-0.0,0.02,-0.0,0.01,-0.0,-0.0,-0.0
FUT..IND ~ PRES.PERF.IND,0.49,-0.17,-0.12,-0.17,-0.04,0.05,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..IND ~ PRES..,-0.2,-0.15,-0.05,0.42,-0.02,0.03,0.0,-0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND ~ PRES..MOD,0.45,-0.14,-0.1,-0.17,-0.03,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,-0.01,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES.PERF.IND,-0.12,0.45,-0.1,-0.13,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..IND ~ PAST.PROG.IND,-0.24,-0.09,-0.17,0.47,-0.03,0.02,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.07,-0.0,-0.0
