lex,stem,sum
אמר,qal,771
עשׂה,qal,548
היה,qal,485
נתן,qal,335
בוא,qal,263
דבר,piel,255
צוה,piel,219
שׁמע,qal,187
ידע,qal,180
ראה,qal,170
שׁלח,qal,112
מלך,qal,99
הלך,qal,89
יצא,qal,87
לקח,qal,86
חטא,qal,81
מצא,qal,76
שׁבע,nif,75
קרא,qal,73
שׂים,qal,72
עלה,qal,71
נכה,hif,69
בנה,qal,62
עבר,qal,57
בוא,hif,55
ילד,qal,55
מות,qal,53
אהב,qal,53
אכל,qal,53
יצא,hif,51
נשׂא,qal,51
בחר,qal,50
ישׁב,qal,50
נפל,qal,50
מלא,qal,49
עזב,qal,47
ילד,hif,40
עלה,hif,38
עמד,qal,38
ירד,qal,36
חפץ,qal,36
כון,hif,35
שׂנא,qal,35
שׁמר,qal,34
חזק,hif,33
מאס,qal,32
שׁלח,piel,30
יכל,qal,30
שׁוב,qal,30
הרג,qal,28
נגד,hif,27
שׁוב,hif,27
כרת,qal,27
ברך,piel,26
סור,qal,25
שׁאל,qal,25
עשׂה,nif,25
קום,qal,25
חלל,hif,24
נצל,hif,23
שׁכח,qal,23
בטח,qal,23
ירא,qal,23
מצא,nif,23
מלא,piel,23
קרא,nif,22
פקד,qal,22
שׂרף,qal,21
בקשׁ,piel,21
נטה,qal,21
ילד,pual,21
שׁאר,nif,20
אבה,qal,20
הפך,qal,19
זכר,qal,19
נתן,nif,19
יעץ,qal,19
ראה,hif,18
שׁדד,pual,17
זקן,qal,17
כסה,piel,16
חלל,piel,16
סור,hif,16
קום,hif,16
נוס,qal,16
חרף,piel,15
מאן,piel,15
משׁח,qal,15
ראה,nif,14
טמא,piel,14
חרה,qal,14
אסף,nif,14
קנה,qal,14
רום,hif,14
אבד,qal,14
כלה,qal,14
שׁכב,qal,14
נסע,qal,14
נוח,hif,13
רבה,hif,13
יבשׁ,hif,13
שׁאר,hif,13
ענה,piel,13
מלט,nif,13
פרץ,qal,13
ענה,qal,13
גמל,qal,13
רעע,hif,12
קדשׁ,hif,12
הפך,nif,12
שׁבר,nif,12
חשׁב,qal,12
חזה,qal,12
שׁפך,qal,12
הלך,hit,12
לחם,nif,12
ברא,qal,12
סבב,qal,12
כלה,piel,12
פשׂה,qal,12
גדל,qal,11
יגע,qal,11
כתב,qal,11
שׁית,qal,11
מעל,qal,11
לבשׁ,qal,11
שׁבע,hif,11
פדה,qal,11
שׁבר,piel,11
פשׁע,qal,11
בגד,qal,11
פתח,qal,11
לכד,qal,11
שׁמע,nif,10
טמא,nif,10
ברח,qal,10
צרר,qal,10
מות,hif,10
קרב,qal,10
חדל,qal,10
בושׁ,qal,10
גלה,qal,10
גלה,piel,10
פעל,qal,10
זנח,qal,9
היה,nif,9
פקד,hif,9
דבק,qal,9
נגע,qal,9
נגשׁ,nif,9
דרשׁ,qal,9
יתר,nif,9
שׁפט,qal,9
חזק,qal,9
חשׁב,nif,9
עמד,hif,9
מרה,qal,9
גדל,hif,9
קצף,qal,9
שׂמח,qal,8
יצר,qal,8
גאל,qal,8
עבד,qal,8
תקע,qal,8
כשׁל,qal,8
שׁחת,piel,8
שׁבר,qal,8
בזה,qal,8
ישׁע,hif,8
קלל,qal,8
חיה,hif,8
עור,piel,8
כרע,qal,8
יסר,piel,8
נתץ,qal,8
קרב,hif,8
גלה,hif,8
קרע,qal,8
מנע,qal,8
חלה,qal,8
חסה,qal,8
עזר,qal,7
רחק,qal,7
נסה,piel,7
גבה,qal,7
צעק,qal,7
קבר,qal,7
שׁמם,nif,7
צפה,piel,7
נדד,qal,7
נפל,hif,7
קוה,piel,7
כבד,hif,7
עוד,hif,7
תעה,qal,7
גבר,qal,7
ידע,nif,7
שׁבה,qal,7
שׂבע,qal,7
דרך,qal,7
פרר,hif,7
כון,piel,7
אסף,qal,7
מלך,hif,7
פרח,qal,7
יסד,qal,7
כרה,qal,7
נבא,nif,7
חפר,qal,7
אחז,qal,7
מכר,qal,7
אמל,pual,6
טמן,qal,6
נגע,hif,6
רדף,qal,6
שׁכן,qal,6
יבשׁ,qal,6
בלע,piel,6
ירד,hif,6
שׁמע,hif,6
סגר,qal,6
בער,piel,6
סמך,qal,6
צפן,qal,6
סתר,nif,6
חלק,qal,6
סתר,hif,6
ידע,hif,6
נחם,nif,6
עבר,hif,6
שׁחת,hif,6
שׁקט,qal,6
רמה,piel,6
שׁמד,hif,6
זמם,qal,6
בזז,qal,6
גלה,nif,6
למד,piel,6
ישׁב,hif,6
לכד,nif,6
תמם,qal,6
קדם,piel,6
עצר,qal,6
ספר,piel,6
פתח,nif,6
גזל,qal,6
ערך,qal,6
חרם,hif,6
צוה,pual,6
בהל,nif,6
חזק,piel,6
רצה,qal,6
מדד,qal,6
חשׂך,qal,6
שׁבת,qal,6
יסף,qal,6
קנא,piel,6
קשׁה,hif,5
סגר,hif,5
כחד,nif,5
חרב,hif,5
פחד,qal,5
כנע,nif,5
שׁקף,nif,5
פוץ,nif,5
חתת,qal,5
כון,nif,5
יאל,hif,5
תלה,qal,5
גדל,piel,5
רחק,hif,5
חשׁק,qal,5
רבב,qal,5
ילד,nif,5
קשׁר,qal,5
חזק,hit,5
בדל,hif,5
שׁבת,hif,5
חיה,piel,5
משׁל,qal,5
נטשׁ,qal,5
שׁלך,hif,5
נדר,qal,5
נדח,hif,5
נטע,qal,5
עוה,hif,5
צום,qal,5
נגף,nif,5
חיה,qal,5
כעס,hif,5
צדק,qal,5
שׁוה,piel,5
דלל,qal,5
פרשׂ,qal,5
גנב,qal,5
נכה,hof,5
רשׁע,qal,4
חמל,qal,4
חרר,nif,4
ארך,hif,4
אוה,piel,4
עלה,nif,4
קדשׁ,piel,4
חנה,qal,4
ירה,qal,4
נחה,qal,4
פשׁט,qal,4
יסד,piel,4
נטף,qal,4
גור,qal,4
תור,qal,4
ערב,qal,4
רוץ,qal,4
לקח,pual,4
כבד,qal,4
עור,hif,4
קשׁב,hif,4
שׁמם,qal,4
נסך,qal,4
נגד,hof,4
פתח,piel,4
בכה,qal,4
תפשׂ,qal,4
מכר,nif,4
חכם,qal,4
שׁתה,qal,4
נתך,nif,4
זנה,qal,4
משׁך,qal,4
עדר,nif,4
חלה,piel,4
קלל,piel,4
נאץ,piel,4
קיץ,hif,4
פקד,hotp,4
זעק,qal,4
שׂכר,qal,4
נשׁא,hif,4
יגר,qal,4
יעד,qal,4
דמה,qal,4
תמך,qal,4
שׁגה,qal,4
כרת,hif,4
דמה,nif,4
שׂושׂ,qal,4
רכשׁ,qal,4
סבב,hif,4
חלף,qal,4
שׂכל,hif,4
לאה,nif,4
מרד,qal,4
אמן,hif,4
פוץ,hif,4
רבה,qal,4
פתר,qal,3
יצק,qal,3
יקר,qal,3
רפא,nif,3
יצת,nif,3
כרת,nif,3
באשׁ,hif,3
תכן,piel,3
עשׁשׁ,qal,3
פלא,nif,3
שׂמח,piel,3
בוא,hof,3
גלה,hof,3
לבשׁ,hif,3
קהל,nif,3
שׁאל,nif,3
קצר,qal,3
קדשׁ,hit,3
שׁבה,nif,3
ריב,qal,3
שׁחט,qal,3
ארב,qal,3
