period,SBH,SBH,LBH,LBH
domain2,Q,N,N,Q
eng_TAM,,,,
PAST..IND,3.2,2.18,5.73,18.2
PRES.PERF.IND,1.19,224.6,1123.0,6.61
PAST.PERF.IND,8.62,1.65,3.98,38.81
PRES..IND,1.19,96.25,128.33,7.13
PAST..SUBJ,2.24,2.71,7.6,19.0
PRES..MOD,4.0,1.8,7.2,18.0
FUT..IND,1.17,inf,inf,7.0
PRES..,3.67,1.57,11.0,inf
PRES.PROG.IND,1.43,inf,inf,3.33
PAST.PROG.IND,5.0,1.67,inf,5.0
past.PERF_PROG.IND,inf,2.0,2.0,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf
..,inf,1.0,inf,inf
