clause_rela,has_time,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,0,0.0,-0.04,0.14,-0.12,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
SubAdv,0,-0.09,0.08,0.0,0.03,-0.0,-0.01,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
SubMod,0,0.04,-0.0,-0.17,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Main,1,0.29,-0.1,-0.13,-0.05,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,0,-0.13,0.06,-0.14,0.21,-0.0,-0.01,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
SubAdv,1,-0.1,0.08,-0.09,0.01,0.01,0.07,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01
SubMod,1,0.2,-0.04,-0.22,0.06,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,1,0.01,0.2,-0.1,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
