,V,RV,_W_SV,RSV,_W_V,SV,CV,ISV,QSV,ASV,CSV,_W_ISV,AV,_W_ASV,_W_RV,CASV,QV,OSV,_W_SAV,COSV,_W_AV,IV,_W_IV,CISV,_W_OSV,_W_QSV,_W_OV,_W_QV,_W_CV,SAV,OV,QASV,CAV,_W_IASV,QOSV,IASV,CQV,COV,_W_CSV,_W_IAV,CIV,CSAV,_W_CAV,_W_CASV,CAOV,SOV,COASV,ROV,ARSV,QAV,OASV,CIASV,IISV,_W_SOV,ACV
PRES,12.48,2.18,-24.49,-1.4,-0.05,0.1,0.08,-5.83,5.14,-0.69,0.53,-6.37,-0.37,0.31,1.1,-0.94,1.1,0.38,-0.32,-1.06,-0.88,-0.56,-1.63,-1.53,-0.14,-0.0,0.32,0.36,0.96,0.0,0.69,-1.04,-0.18,-0.78,-0.52,-0.52,0.25,0.25,-0.27,-0.27,-0.0,-0.0,0.43,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43
PAST,-10.91,15.07,21.72,-7.92,-0.38,0.23,-2.41,-6.16,-4.63,-2.37,-1.56,0.55,0.74,-0.81,0.98,-0.1,-1.59,-0.79,1.37,-1.02,2.22,-0.62,-0.0,-0.21,0.5,-0.21,0.0,-0.22,-0.22,0.0,0.0,0.0,0.0,0.27,0.0,0.43,0.0,0.0,0.58,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,13.89,-10.39,0.04,-5.25,0.83,-0.38,-2.58,-1.35,1.4,0.22,-0.74,2.32,-0.29,-0.14,0.0,-0.39,1.07,0.0,0.5,-0.21,-0.21,0.0,0.24,0.0,0.41,1.1,0.41,0.0,0.0,1.34,0.0,0.51,0.0,0.57,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,-13.82,-9.33,-3.05,34.63,-2.81,-0.35,0.83,17.54,0.0,0.0,0.0,-0.57,-0.58,0.0,-0.2,0.87,0.43,2.23,0.0,2.99,0.74,0.87,1.62,3.58,0.5,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,0.0,1.34,0.0,0.0
PRES ~ PRES PART,2.41,1.78,-3.16,-0.51,0.64,-1.47,-0.57,-0.11,0.0,0.52,-0.56,-0.39,-0.4,-0.19,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,2.14,-11.14,-2.21,-1.48,-1.48,0.0,3.99,5.85,-0.76,3.56,-0.57,0.0,0.4,0.47,0.0,2.76,1.23,0.69,0.0,0.95,0.37,0.0,0.0,0.64,0.64,0.0,0.64,0.0,0.69,0.0,0.0,0.75,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-5.19,-3.41,-1.19,20.6,-2.52,0.34,0.59,1.14,-0.14,0.33,0.91,0.19,0.0,0.5,0.0,0.67,0.0,0.72,0.35,0.98,0.0,2.09,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0
PAST PROG,-12.77,-2.01,32.01,-1.79,-3.5,2.73,-0.43,-0.93,-0.55,-0.57,0.36,2.0,-0.2,0.52,0.0,0.7,0.0,0.0,0.0,0.38,0.0,0.0,4.46,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-6.96,0.77,15.24,-0.8,-1.19,0.17,0.13,-0.76,-0.37,-0.39,0.73,0.53,-0.2,0.23,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.48,0.16,0.45,-2.41,0.74,0.09,-0.76,-0.57,-0.39,-0.39,-0.19,1.85,0.66,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,-0.18,6.88,-2.45,-0.9,0.52,-0.36,-0.39,-0.39,-0.2,0.56,0.0,0.3,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.44,-4.4,-0.09,1.02,1.57,0.0,0.79,0.0,0.59,0.0,0.7,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-0.13,-0.32,-1.08,0.24,-0.11,1.97,0.9,-0.2,0.23,0.25,0.0,0.0,0.4,1.15,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
