eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST,0.85,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.84,0.11,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
PAST ~ PAST PERF,0.75,0.17,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.27,0.51,0.16,0.01,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0
PRES,0.23,0.31,0.12,0.14,0.17,0.0,0.01,0.0,0.01,0.01,0.0,0.01
?PAST ~ PAST,0.9,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.22,0.55,0.11,0.02,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0
?PAST,0.92,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.44,0.32,0.12,0.04,0.06,0.0,0.01,0.01,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.86,0.04,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.22,0.49,0.1,0.05,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.69,0.23,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.77,0.15,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.29,0.5,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES,0.0,0.54,0.0,0.15,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0
?PRES,0.31,0.62,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.64,0.09,0.18,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.82,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.56,0.33,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PAST,0.57,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
