mother_verbtype,TOTAL,PAST,PAST ~ PRES PART,PAST ~ PAST PERF,PRES PERF,PRES,?PAST ~ PAST,PAST ~ PRES PERF,?PAST,PAST ~ PRES,PAST ~ TO INF,PAST PERF,PRES ~ PRES PERF,PRES PART,PAST ~ PAST PROG,FUT ~ PRES,?PRES ~ PRES,?PRES,MOD would,MOD could ~ PAST,TO INF,?VB ~ PAST,?PRES ~ PAST,?PAST ~ PRES PART,PAST PROG,FUT ~ PAST,PRES PART ~ PRES PERF,?VB,FUT ~ PRES PERF,PAST PERF ~ PRES PERF,PRES ~ PRES PROG,MOD would ~ PAST,?PAST did not ~ PAST,PRES ~ PRES PART,IMPV ~ PAST,?PAST ~ ?VB,PRES ~ TO INF,MOD let ~ PAST,?PAST ~ PRES,?TO INF ~ PAST,MOD let,FUT ~ MOD shall,PAST PERF ~ PRES PART,PRES PERF ~ TO INF,??PAST,?PRES PERF ~ PRES,PRES PERF ~ PRES PROG,?PAST ~ IMPV,?VB ~ PRES,?VB ~ PRES PERF,FUT,?PRES ~ ?PRES PERF,?PRES ~ PRES PERF,?FUT ~ PAST,?PRES PERF,MOD can ~ PRES,??VB ~ ?PAST question,MOD may ~ PAST,?PRES ~ PRES PART,?PAST wh-question,?PAST wh-question ~ ?PRES,?PAST question,?PAST do-support ~ PAST,?PAST wh-question ~ MOD let,?PAST did not ~ TO INF,?PAST wh-question ~ PAST,?PAST wh-question ~ TO INF,?PAST ~ ?TO INF,?MOD would ~ PAST,?PAST did not ~ ?PAST question,?PAST PERF ~ PAST PERF,?MOD would,?MOD let ~ PAST,?FUT ~ PRES PART,?FUT ~ PRES,?FUT ~ ?PRES,??VB ~ PRES PERF,??VB ~ PRES,??VB ~ PAST,??PRES ~ PAST,??PAST ~ PAST,??PAST ~ ?TO INF,??PAST ~ ?PAST,PRES PERF PROG,MOD let ~ PRES PART,PRES PART ~ TO INF,?PAST ~ PAST PERF,MOD may,MOD let ~ MOD may,MOD is to ~ PRES PERF,MOD may ~ PRES,MOD could ~ MOD might,IMPV ~ PRES PART,IMPV ~ PRES,MOD might ~ PRES PERF,MOD must ~ PAST,MOD must ~ PRES,MOD should ~ MOD would,FUT ~ MOD would,MOD should ~ PRES,MOD should ~ TO INF,MOD would ~ PRES,?TO INF ~ PRES,?TO INF,?PRES ~ TO INF,PAST PERF ~ TO INF,PAST PROG ~ PRES PART,?PRES ~ FUT,?PRES ~ ?VB,?PRES PERF ~ PAST,MOD let ~ PRES,?PAST ~ PRES PERF,PAST PROG ~ PRES PERF PROG,PAST ~ PAST PERF PROG,PAST PROG ~ PRES PERF
wayq,10200,9289,159,132,48,37,111,25,94,34,60,40,9,18,20,4,0,4,7,9,5,6,4,5,4,3,1,1,4,2,2,3,1,1,3,3,0,2,2,3,2,1,3,1,1,2,2,2,0,0,1,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0
qtl,1500,1071,20,30,90,51,8,62,7,25,3,15,20,6,4,7,7,8,1,0,3,2,3,1,0,1,4,3,1,2,0,0,3,2,0,0,2,1,1,0,1,1,0,2,0,0,0,0,1,2,1,1,1,0,2,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
Ø,466,353,4,8,29,19,4,12,1,9,6,0,4,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ptcp,155,106,3,6,1,22,1,2,0,3,1,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yqtl,114,52,0,0,6,27,0,5,0,5,0,0,5,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wqtl,47,35,2,0,1,0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
infc,42,31,1,1,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impv,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohoT,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jussM,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
