,x,Wx,Ø,W
PRES,23.33,-6.5,-0.26,-23.36
FUT,-3.04,-0.1,3.67,0.85
FUT ~ MOD shall,-2.25,26.93,-7.57,-7.27
IMPV,8.72,3.05,-15.26,-12.72
MOD let,-74.41,-24.61,81.17,41.03
IMPV ~ MOD shall,5.59,5.98,-13.96,-20.63
PAST,-5.7,0.3,10.69,-1.12
FUT ~ PRES,0.18,1.56,-1.14,-1.22
MOD may,-8.61,-7.85,-0.58,55.29
MOD must ~ MOD shall,1.68,1.02,-0.49,-10.68
MOD is to ~ MOD shall,2.33,0.89,-1.38,-8.04
MOD can,8.08,0.5,-8.58,-9.16
MOD shall,6.54,-1.17,-0.87,-6.29
FUT ~ MOD may,-6.41,-1.27,-0.41,23.66
MOD shall ~ PRES,1.21,-0.07,0.04,-3.08
IMPV ~ MOD let,-5.85,-0.79,6.62,2.86
MOD would,0.31,-2.62,0.46,1.33
MOD let ~ MOD may,-14.68,-4.7,20.62,5.5
PAST ~ PRES,-0.24,-0.57,1.72,-0.06
PRES ~ PRES PART,1.28,-0.14,-0.32,-0.84
PRES ~ PRES PERF,2.92,-1.1,-0.26,-1.64
MOD should,4.83,-1.4,-2.43,-0.35
TO INF,-4.22,-0.45,-0.06,11.9
FUT ~ MOD lest,2.2,0.9,-5.02,-2.59
MOD can ~ PRES,3.28,0.0,-3.05,-1.7
MOD can ~ MOD may,-3.0,-0.81,-4.84,19.71
MOD may ~ PRES,0.15,-1.06,0.06,1.06
FUT ~ MOD can,0.66,0.81,-3.56,0.0
PRES PERF,2.36,-1.0,-0.32,-0.77
IMPV ~ PRES,-1.57,2.04,0.69,-1.22
MOD may ~ MOD shall,-0.22,0.91,-0.23,-0.09
PRES PART,-0.17,0.73,0.25,-0.9
MOD can ~ MOD shall,2.13,-0.06,-3.13,-0.1
FUT ~ MOD would,0.85,-0.41,-0.27,0.0
MOD may ~ TO INF,-6.46,-4.08,-3.13,32.21
MOD should ~ PRES,1.29,-0.0,-1.95,-0.1
PRES ~ TO INF,0.0,-0.22,-0.0,0.54
MOD could,1.74,-0.23,-1.81,0.0
MOD must,0.95,-0.34,-0.08,-0.24
MOD shall ~ TO INF,0.13,0.35,-0.95,0.24
PAST ~ PRES PERF,-0.63,-0.96,2.44,0.27
IMPV ~ MOD may,-0.91,0.16,0.33,0.66
FUT ~ MOD let,-4.3,-1.37,2.44,5.54
FUT ~ TO INF,-1.13,0.28,0.09,1.3
MOD shall ~ MOD should,3.61,-0.4,-1.98,-0.97
MOD let ~ PRES,-2.36,-0.56,4.47,0.5
MOD would ~ PAST,-2.36,2.4,0.94,-0.76
FUT ~ IMPV,-1.41,0.09,1.63,0.33
MOD would ~ PRES,1.17,-0.63,-0.24,0.0
MOD let ~ TO INF,-6.98,-0.88,0.43,10.89
PAST ~ PRES PART,-0.08,0.51,-0.63,0.37
MOD shall ~ PRES PART,0.41,0.0,-0.12,0.0
MOD must ~ PRES,0.76,0.1,-0.47,-0.39
MOD should ~ TO INF,2.31,-0.55,-1.22,0.0
FUT ~ PRES PART,-0.09,-0.23,0.7,0.17
FUT ~ PAST,-1.06,0.83,0.13,0.18
MOD let ~ MOD shall,-0.33,-0.11,1.44,0.0
