genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,178,247,123,2,27,1,0,0,1,0,4,5,0,0,2,0,0,0,0
PRES..IND ~ PRES.PERF.IND,159,72,139,3,27,3,0,0,4,0,1,6,0,3,1,2,0,0,0
PAST..IND ~ PAST.PERF.IND,33,32,18,258,3,13,19,14,0,11,0,0,7,0,0,0,1,0,0
PAST..IND ~ PRES..IND,56,35,74,8,15,1,0,1,3,1,6,1,2,1,2,1,0,0,0
FUT..IND ~ PRES..IND,78,12,19,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0,0
FUT..IND ~ PRES.PERF.IND,74,6,8,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
PAST..IND ~ PRES..,8,6,11,42,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
FUT..IND ~ PRES..MOD,36,4,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
PAST.PERF.IND ~ PRES.PERF.IND,9,32,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST..IND ~ PAST.PROG.IND,2,4,1,19,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0
PRES.. ~ PRES.PERF.IND,4,14,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PERF.IND ~ PRES.PROG.IND,5,16,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PAST..IND ~ PRES..MOD,6,0,3,11,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
PAST..IND ~ PAST..SUBJ,5,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..IND ~ PRES..MOD,9,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..IND ~ PRES.PROG.IND,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.. ~ PAST..IND,5,5,2,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
PRES.. ~ PRES..IND,6,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRES..MOD ~ PRES.PERF.IND,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
