eng_TAM,SBH,LBH
PAST..IND,-0.06,0.06
PRES.PERF.IND,0.1,-0.1
PAST.PERF.IND,-0.07,0.07
PRES..IND,0.09,-0.09
PRES..MOD,-0.02,0.02
PAST..SUBJ,0.05,-0.05
FUT..IND,0.08,-0.08
PRES..,0.13,-0.13
PAST.PROG.IND,0.04,-0.04
PRES.PROG.IND,-0.07,0.07
past.PERF_PROG.IND,-0.27,0.27
PRES.PERF_PROG.IND,0.23,-0.23
..,0.23,-0.23
