lex,stem,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
אמר,qal,0.24,0.01,0.72,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עשׂה,qal,0.38,0.37,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
היה,qal,0.69,0.17,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
נתן,qal,0.43,0.39,0.07,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בוא,qal,0.52,0.29,0.08,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
דבר,piel,0.46,0.36,0.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
צוה,piel,0.63,0.2,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁמע,qal,0.24,0.59,0.06,0.03,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ידע,qal,0.13,0.08,0.73,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ראה,qal,0.42,0.42,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שׁלח,qal,0.55,0.29,0.02,0.11,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
מלך,qal,0.88,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
הלך,qal,0.6,0.18,0.07,0.12,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
יצא,qal,0.6,0.18,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
לקח,qal,0.52,0.2,0.06,0.2,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
חטא,qal,0.12,0.83,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מצא,qal,0.33,0.46,0.13,0.04,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
שׁבע,nif,0.65,0.2,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
קרא,qal,0.68,0.14,0.15,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
שׂים,qal,0.46,0.39,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
עלה,qal,0.58,0.21,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נכה,hif,0.7,0.16,0.0,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בנה,qal,0.48,0.29,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
עבר,qal,0.47,0.25,0.18,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
בוא,hif,0.49,0.29,0.05,0.13,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ילד,qal,0.75,0.16,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
מות,qal,0.55,0.0,0.4,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
אהב,qal,0.19,0.08,0.72,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אכל,qal,0.3,0.43,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
יצא,hif,0.78,0.08,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
נשׂא,qal,0.43,0.24,0.22,0.08,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
