period,domain2,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PAST..SUBJ,PRES..MOD,FUT..IND,PRES..,PRES.PROG.IND,PAST.PROG.IND,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,Q,0.36,0.43,0.03,0.15,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SBH,N,0.73,0.0,0.24,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,N,0.72,0.0,0.25,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,Q,0.36,0.43,0.04,0.14,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0
