,sum
MOD let,0.31
MOD may,0.18
IMPV do not,0.14
IMPV,0.14
MOD shall,0.08
FUT,0.05
PRES,0.04
TO INF,0.03
MOD would,0.02
PAST,0.01
PRES PART,0.0
MOD might,0.0
FUT PROG,0.0
MOD that,0.0
MOD should,0.0
MOD can,0.0
