,sum
MOD let,108
MOD may,64
IMPV do not,49
IMPV,49
MOD shall,27
FUT,17
PRES,13
TO INF,9
MOD would,7
PAST,3
PRES PART,1
MOD might,1
FUT PROG,1
MOD that,1
MOD should,1
MOD can,1
