domain2,FUT ~ MOD shall,IMPV ~ MOD shall,FUT ~ PRES,MOD must ~ MOD shall,MOD is to ~ MOD shall,FUT ~ MOD may,MOD shall ~ PRES,IMPV ~ MOD let,MOD let ~ MOD may,PAST ~ PRES,PRES ~ PRES PART,PRES ~ PRES PERF,FUT ~ MOD lest,MOD can ~ PRES,MOD can ~ MOD may,FUT ~ MOD can,MOD may ~ PRES,IMPV ~ PRES,MOD may ~ MOD shall,FUT ~ MOD would,MOD may ~ TO INF,MOD should ~ PRES,MOD can ~ MOD shall,PRES ~ TO INF,MOD shall ~ TO INF,IMPV ~ MOD may,FUT ~ MOD let,PAST ~ PRES PERF,MOD shall ~ MOD should,FUT ~ TO INF,MOD let ~ PRES,FUT ~ IMPV,MOD let ~ TO INF,MOD would ~ PRES,MOD shall ~ PRES PART,MOD should ~ TO INF,MOD must ~ PRES,FUT ~ PAST,FUT ~ PRES PART,MOD shall ~ PAST,MOD let ~ MOD must,MOD lest ~ PRES,MOD lest ~ MOD may,IMPV ~ MOD must,PRES ~ PRES PROG,IMPV ~ MOD can,MOD let ~ MOD shall,MOD should ~ MOD would,IMPV ~ MOD should,MOD may ~ MOD must,PAST ~ PRES PART,FUT ~ MOD should,MOD let ~ MOD should,MOD let ~ PAST,IMPV ~ PRES PART,MOD is to ~ MOD let,IMPV ~ TO INF,PAST ~ TO INF,MOD can ~ MOD should,MOD can ~ MOD could,FUT ~ MOD must,MOD would ~ PAST,MOD can ~ TO INF,MOD can ~ MOD let,IMPV ~ PAST,MOD could ~ MOD would,MOD can ~ PRES PART,HAB used to ~ PAST,MOD would ~ TO INF,FUT ~ FUT going-to,MOD might ~ MOD would,MOD shall ~ MOD would,MOD let ~ PRES PART,FUT going-to ~ MOD shall,MOD could ~ PAST,PAST ~ PAST PERF,PRES PART ~ TO INF,FUT ~ PRES PERF,MOD lest ~ MOD might,MOD may ~ PRES PART,MOD was to ~ PAST,MOD lest ~ TO INF,MOD could ~ MOD might,MOD is to ~ MOD may,MOD might ~ PAST,MOD let ~ MOD would,MOD should ~ MOD was to,MOD might ~ TO INF,MOD is to ~ MOD must,FUT ~ PRES PROG,MOD can ~ PAST,IMPV ~ MOD is to,IMPV ~ MOD lest,MOD VB ~ PRES,FUT ~ MOD is to,MOD VB ~ MOD may,?VB ~ PAST,MOD should ~ PAST,MOD let ~ PRES PERF,PRES PERF ~ TO INF,MOD might ~ MOD should,MOD is to ~ PRES PART,MOD may ~ PAST,MOD may ~ PRES PERF,MOD need not ~ MOD shall,MOD could ~ MOD must,MOD could ~ MOD should,MOD can ~ MOD might,MOD shall ~ PRES PERF,MOD would ~ PRES PART,FUT ~ MOD that be,PAST PERF ~ PRES,PRES PART ~ PRES PERF,MOD may ~ MOD might,MOD should ~ PRES PERF,MOD need not ~ PRES,MOD is to ~ PRES,MOD must ~ MOD quest must,PAST PROG ~ PRES,PRES ~ PRES do,FUT PROG ~ PRES,MOD lest ~ MOD shall,MOD can ~ MOD must,MOD lest ~ MOD would,MOD let ~ MOD that be,MOD lest ~ MOD should,MOD is to ~ TO INF,MOD lest ~ MOD let,MOD would ~ PAST PERF,MOD would ~ PAST PROG,MOD could ~ PRES PERF,FUT ~ MOD was to,MOD could ~ TO INF,MOD ~ MOD let,MOD ~ PRES,MOD is to ~ MOD lest,MOD lest ~ MOD must,PAST ~ PAST PROG,PRES PERF ~ PRES PROG,PRES PART ~ PRES PROG,MOD that be ~ TO INF,FUT ~ MOD,PRES ~ PRES can,FUT ~ FUT PROG,FUT ~ FUT PERF,MOD is to ~ PRES PROG,FUT going-to ~ MOD may,FUT going-to ~ MOD lest,FUT going-to ~ MOD is to,MOD is to ~ MOD should,FUT PROG ~ MOD shall,FUT PERF ~ PRES,MOD was to ~ PRES,FUT ~ PRES shall,MOD could ~ PAST PERF,MOD must ~ MOD should,MOD can ~ MOD lest,MOD may ~ MOD would,MOD VB ~ TO INF,MOD let ~ VB,MOD VB ~ MOD shall,MOD VB ~ MOD can,JJ ~ PRES,MOD let ~ MOD that,IMPV ~ PRES PERF,MOD might ~ PRES PERF,MOD let ~ MOD might,MOD must ~ PRES PART,MOD may ~ MOD should,MOD must ~ PRES PROG,MOD must ~ TO INF,MOD lest ~ MOD that be,MOD could ~ MOD shall,MOD quest must ~ MOD shall,IMPV ~ MOD,IMPV not ~ MOD must,HAB used to ~ PRES PERF,PRES ~ PRES shall,HAB used to ~ MOD would,MOD should ~ PRES PART,MOD must ~ PRES shall
Q,0.3,0.08,0.07,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
