domain2,FUT ~ MOD shall,IMPV ~ MOD shall,FUT ~ PRES,MOD must ~ MOD shall,MOD is to ~ MOD shall,MOD shall ~ PRES,FUT ~ MOD may,IMPV ~ MOD let,MOD let ~ MOD may,PAST ~ PRES,PRES ~ PRES PART,PRES ~ PRES PERF,FUT ~ MOD lest,MOD can ~ PRES,FUT ~ MOD can,IMPV ~ PRES,MOD may ~ PRES,MOD may ~ MOD shall,MOD can ~ MOD may,MOD should ~ PRES,PRES ~ TO INF,FUT ~ MOD would,MOD can ~ MOD shall,MOD shall ~ TO INF,PAST ~ PRES PERF,MOD may ~ TO INF,MOD shall ~ MOD should,IMPV ~ MOD may,FUT ~ TO INF,FUT ~ IMPV,MOD would ~ PRES,FUT ~ MOD let,MOD shall ~ PRES PART,MOD let ~ PRES,MOD should ~ TO INF,MOD let ~ TO INF,MOD must ~ PRES,IMPV ~ MOD must,FUT ~ PRES PART,MOD lest ~ PRES,MOD lest ~ MOD may,MOD shall ~ PAST,FUT ~ PAST,PRES ~ PRES PROG,MOD should ~ MOD would,FUT ~ MOD should,PAST ~ PRES PART,IMPV ~ MOD can,MOD may ~ MOD must,MOD let ~ MOD shall,PAST ~ TO INF,MOD let ~ MOD must,MOD is to ~ MOD let,MOD can ~ MOD could,MOD can ~ MOD should,MOD let ~ MOD should,IMPV ~ TO INF,IMPV ~ MOD should,IMPV ~ PRES PART,MOD could ~ MOD would,MOD would ~ PAST,IMPV ~ PAST,FUT ~ MOD must,HAB used to ~ PAST,FUT ~ FUT going-to,MOD could ~ PAST,FUT going-to ~ MOD shall,MOD can ~ TO INF,?VB ~ MOD let,FUT ~ PRES PERF,MOD let ~ PAST,MOD lest ~ MOD might,MOD might ~ MOD would,MOD shall ~ MOD would,PAST ~ PAST PERF,MOD was to ~ PAST,MOD can ~ MOD let,MOD would ~ TO INF,MOD is to ~ MOD must,MOD is to ~ MOD may,MOD might ~ PAST,PRES PART ~ TO INF,MOD lest ~ TO INF,MOD may ~ PRES PART,MOD should ~ MOD was to,MOD can ~ PRES PART,MOD let ~ PRES PART,MOD should ~ PAST,IMPV ~ MOD lest,MOD might ~ TO INF,MOD could ~ MOD might,MOD can ~ PAST,MOD VB ~ MOD may,MOD VB ~ PRES,FUT ~ PRES PROG,MOD might ~ MOD should,FUT ~ MOD is to,PRES PERF ~ TO INF,?VB ~ PAST,MOD is to ~ PRES PART,MOD would ~ PRES PART,MOD can ~ MOD might,MOD may ~ MOD might,MOD need not ~ MOD shall,MOD let ~ MOD would,MOD shall ~ PRES PERF,MOD could ~ MOD must,MOD may ~ PAST,MOD could ~ MOD should,MOD may ~ PRES PERF,IMPV ~ MOD is to,PRES PART ~ PRES PERF,PAST PERF ~ PRES,FUT ~ MOD that be,MOD let ~ PRES PERF,FUT PROG ~ PRES,MOD should ~ PRES PERF,?VB ~ MOD shall,?VB ~ MOD must,MOD need not ~ PRES,PAST PROG ~ PRES,PRES ~ PRES do,??VB ~ MOD let,MOD is to ~ PRES,MOD lest ~ MOD would,MOD is to ~ TO INF,MOD can ~ MOD must,MOD let ~ MOD that be,MOD lest ~ MOD shall,MOD lest ~ MOD should,MOD lest ~ MOD let,PRES ~ PRES shall,MOD lest ~ MOD must,PAST ~ PAST PROG,PRES PART ~ PRES PROG,MOD lest ~ MOD that be,FUT ~ MOD,PRES PERF ~ PRES PROG,PRES ~ PRES can,FUT ~ FUT PROG,MOD is to ~ PRES PROG,FUT going-to ~ MOD lest,FUT going-to ~ MOD is to,MOD let ~ MOD might,FUT PROG ~ MOD shall,FUT PERF ~ PRES,MOD may ~ MOD would,MOD may ~ MOD should,MOD let ~ VB,?VB ~ MOD lest,?VB ~ IMPV,MOD ~ PRES,MOD must ~ TO INF,MOD VB ~ TO INF,MOD would ~ PAST PROG,MOD can ~ MOD lest,MOD must ~ PRES shall,MOD VB ~ MOD can,JJ ~ PRES,MOD must ~ PRES PROG,IMPV ~ PRES PERF,MOD must ~ PRES PART,MOD quest must ~ MOD shall,MOD must ~ MOD should,MOD must ~ MOD quest must,MOD could ~ MOD shall,MOD might ~ PRES PERF,MOD should ~ PRES PART,MOD could ~ PAST PERF,MOD could ~ PRES PERF,MOD could ~ TO INF,MOD that be ~ TO INF,IMPV ~ MOD,HAB used to ~ PRES PERF,MOD is to ~ MOD lest,HAB used to ~ MOD would,MOD was to ~ PRES,FUT ~ PRES shall,MOD is to ~ MOD should,MOD would ~ PAST PERF,MOD VB ~ MOD shall
Q,0.22,0.09,0.07,0.06,0.05,0.03,0.02,0.02,0.02,-0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,-0.22,-0.09,-0.07,-0.06,-0.05,-0.03,-0.02,-0.02,-0.02,0.07,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
