domain2,TOTAL,FUT ~ MOD shall,IMPV ~ MOD shall,FUT ~ PRES,MOD must ~ MOD shall,MOD is to ~ MOD shall,MOD shall ~ PRES,FUT ~ MOD may,PAST ~ PRES,PRES ~ PRES PART,PRES ~ PRES PERF,FUT ~ MOD lest,MOD can ~ PRES,FUT ~ MOD can,MOD may ~ MOD shall,IMPV ~ PRES,MOD should ~ PRES,MOD can ~ MOD shall,FUT ~ MOD would,MOD may ~ PRES,PRES ~ TO INF,MOD shall ~ TO INF,PAST ~ PRES PERF,MOD can ~ MOD may,MOD shall ~ MOD should,FUT ~ TO INF,MOD would ~ PRES,FUT ~ IMPV,MOD shall ~ PRES PART,MOD must ~ PRES,MOD should ~ TO INF,MOD lest ~ MOD may,MOD shall ~ PAST,MOD lest ~ PRES,FUT ~ MOD let,FUT ~ PAST,PRES ~ PRES PROG,IMPV ~ MOD may,MOD should ~ MOD would,MOD may ~ TO INF,MOD let ~ PRES,FUT ~ PRES PART,IMPV ~ MOD must,PAST ~ PRES PART,IMPV ~ MOD can,FUT ~ MOD should,IMPV ~ MOD let,MOD let ~ MOD shall,MOD may ~ MOD must,MOD can ~ MOD should,MOD can ~ MOD could,FUT ~ MOD must,PAST ~ TO INF,MOD would ~ PAST,MOD could ~ PAST,MOD let ~ MOD must,FUT going-to ~ MOD shall,MOD could ~ MOD would,FUT ~ PRES PERF,MOD shall ~ MOD would,HAB used to ~ PAST,MOD was to ~ PAST,PAST ~ PAST PERF,MOD lest ~ MOD might,MOD might ~ MOD would,MOD lest ~ TO INF,MOD should ~ MOD was to,FUT ~ FUT going-to,MOD is to ~ MOD must,MOD is to ~ MOD may,MOD can ~ TO INF,MOD can ~ PRES PART,MOD would ~ TO INF,PRES PART ~ TO INF,IMPV ~ PRES PART,MOD might ~ PAST,MOD VB ~ PRES,IMPV ~ MOD lest,IMPV ~ PAST,MOD can ~ PAST,FUT ~ MOD is to,IMPV ~ TO INF,MOD VB ~ MOD may,?VB ~ PAST,MOD may ~ PRES PART,MOD should ~ PAST,PRES PERF ~ TO INF,MOD might ~ TO INF,MOD let ~ MOD may,MOD might ~ MOD should,PAST PERF ~ PRES,MOD could ~ MOD must,MOD may ~ MOD might,MOD shall ~ PRES PERF,MOD would ~ PRES PART,MOD can ~ MOD might,MOD can ~ MOD let,PRES PART ~ PRES PERF,FUT ~ MOD that be,FUT ~ PRES PROG,MOD could ~ MOD should,IMPV ~ MOD is to,MOD is to ~ PRES PART,MOD is to ~ TO INF,PRES ~ PRES do,MOD need not ~ PRES,MOD need not ~ MOD shall,IMPV ~ MOD should,MOD should ~ PRES PERF,MOD lest ~ MOD should,MOD lest ~ MOD would,FUT PROG ~ PRES,MOD may ~ PRES PERF,MOD can ~ MOD must,MOD lest ~ MOD shall,MOD may ~ PAST,MOD let ~ TO INF,PAST PROG ~ PRES,MOD let ~ PAST,MOD could ~ MOD might,PRES PERF ~ PRES PROG,FUT ~ PRES shall,HAB used to ~ PRES PERF,PAST ~ PAST PROG,FUT ~ MOD,FUT PERF ~ PRES,HAB used to ~ MOD would,MOD ~ PRES,MOD should ~ PRES PART,FUT PROG ~ MOD shall,PRES ~ PRES can,FUT ~ FUT PROG,FUT going-to ~ MOD lest,MOD that be ~ TO INF,MOD was to ~ PRES,FUT going-to ~ MOD is to,MOD would ~ PAST PERF,MOD would ~ PAST PROG,PRES PART ~ PRES PROG,MOD lest ~ MOD that be,MOD quest must ~ MOD shall,MOD let ~ PRES PERF,PRES ~ PRES shall,MOD lest ~ MOD must,MOD lest ~ MOD let,MOD is to ~ PRES PROG,MOD is to ~ PRES,MOD is to ~ MOD should,MOD let ~ MOD should,MOD let ~ MOD that be,MOD is to ~ MOD lest,MOD could ~ TO INF,MOD could ~ PRES PERF,MOD could ~ PAST PERF,MOD let ~ PRES PART,MOD could ~ MOD shall,MOD must ~ TO INF,MOD may ~ MOD should,MOD may ~ MOD would,MOD can ~ MOD lest,MOD VB ~ TO INF,MOD might ~ PRES PERF,MOD VB ~ MOD shall,MOD VB ~ MOD can,JJ ~ PRES,IMPV ~ PRES PERF,MOD must ~ MOD should,MOD must ~ PRES PART,MOD must ~ PRES PROG,MOD must ~ PRES shall,MOD must ~ MOD quest must
Q,4853,1643,461,371,303,278,138,99,93,87,84,71,67,60,49,47,44,42,40,39,38,37,33,32,31,26,21,20,19,17,14,14,14,14,14,14,13,13,11,12,12,12,12,11,11,11,11,9,9,8,8,7,6,7,5,6,6,6,6,6,6,6,5,6,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
