eng_TAM,qal,hif,piel,nif,pual,hit,hof,hotp,tif,poel,poal,nit,hsht,etpa
PAST..IND,-0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
PRES.PERF.IND,0.01,0.01,0.03,-0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
PRES..IND,0.09,-0.08,-0.06,0.05,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
PAST.PERF.IND,-0.07,0.05,0.03,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND,-0.12,-0.02,0.08,0.06,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ,0.06,0.0,0.0,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..MOD,0.11,-0.07,-0.0,-0.03,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..,0.03,-0.02,0.05,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PROG.IND,0.09,-0.05,-0.05,0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND,0.16,-0.11,-0.03,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
..,-0.09,0.09,0.09,-0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
past.PERF_PROG.IND,0.31,-0.11,-0.11,-0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT.PERF.IND,-0.69,0.89,-0.11,-0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF_PROG.IND,-0.69,-0.11,0.89,-0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
