,sum
MOD shall,2416
FUT,1462
PRES,753
IMPV,397
PAST,301
MOD may,185
MOD let,67
MOD would,64
PRES PERF,62
TO INF,55
MOD lest,52
PRES PART,44
MOD should,12
HAB used to,12
MOD can,10
MOD must,7
PAST PERF,5
PAST PROG,4
MOD was to,4
MOD VB,4
MOD could,3
MOD might,2
FUT PROG,2
MOD is to,1
VB,1
MOD,1
MOD that be,1
FUT PERF,1
