person,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
p3,0.16,-0.27,0.05,0.06,-0.01,-0.0,0.01,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
p1,-0.12,0.17,-0.0,-0.06,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
p2,-0.16,0.33,-0.11,-0.05,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
