,sum
PAST,12508
PRES PERF,310
PRES,262
?PAST,202
PAST PERF,123
PRES PART,91
?PRES,31
TO INF,17
MOD would,15
?VB,14
PAST PROG,13
MOD let,11
?PRES PERF,7
??PAST,4
??VB,4
?PAST wh-question,3
?PAST question,3
?PAST did not,3
MOD may,3
?MOD would,3
MOD shall,3
MOD should,3
?IMPV,2
PRES PERF PROG,2
FUT,2
MOD could,2
?MOD let,1
MOD might,1
?TO INF,1
PRES PROG,1
IMPV,1
??PRES,1
?PAST PERF,1
