niv_TAMsimp,MOD shall,FUT,PRES,IMPV,PAST,MOD may,MOD let,MOD would,PRES PERF,TO INF,MOD lest,PRES PART,HAB used to,MOD should,MOD can,MOD must,PAST PERF,MOD was to,PAST PROG,MOD VB,MOD could,FUT PROG,MOD might,MOD,MOD is to,MOD that be,FUT PERF,VB
FUT,0.01,0.48,-0.18,-0.11,-0.08,-0.02,-0.02,-0.02,-0.02,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
IMPV,0.12,-0.28,-0.13,0.41,-0.05,-0.03,0.01,-0.01,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES,-0.36,-0.23,0.73,-0.07,-0.04,-0.02,-0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
MOD is to,0.53,-0.26,-0.11,-0.06,-0.03,-0.03,0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.4,-0.26,0.05,-0.07,0.65,-0.03,-0.01,0.05,0.01,-0.01,-0.01,0.02,0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,0.56,-0.26,-0.13,-0.05,-0.04,-0.02,-0.0,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.52,-0.25,-0.12,-0.07,-0.05,-0.0,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.19,-0.2,0.01,-0.0,-0.0,0.14,0.01,-0.0,-0.01,0.19,0.05,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.27,-0.2,-0.02,-0.07,-0.05,0.55,0.02,-0.01,-0.01,0.01,0.05,0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.23,-0.13,0.14,-0.07,0.08,-0.03,0.0,0.02,0.02,-0.01,0.02,0.19,0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.32,-0.21,0.1,-0.07,0.04,-0.03,-0.01,-0.01,0.53,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.31,-0.13,-0.09,-0.07,0.09,-0.03,-0.01,0.49,-0.01,-0.01,-0.01,-0.01,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
MOD let,-0.25,-0.09,-0.13,-0.07,-0.05,0.08,0.47,0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.1,-0.19,-0.1,-0.07,-0.05,0.3,0.05,-0.01,-0.01,0.02,-0.01,-0.01,-0.0,-0.0,0.15,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.07,-0.25,-0.04,-0.07,-0.05,-0.03,0.07,0.07,-0.01,0.07,-0.01,-0.01,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.41,-0.25,-0.13,-0.07,0.38,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.57,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,-0.41,-0.25,-0.13,-0.07,0.75,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to,-0.01,0.35,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,-0.41,-0.25,-0.13,-0.07,-0.05,-0.03,-0.01,0.24,-0.01,-0.01,0.49,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.41,-0.25,-0.13,-0.07,-0.05,0.72,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.41,-0.25,-0.13,-0.07,0.2,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,-0.41,-0.25,0.54,-0.07,-0.05,-0.03,-0.01,0.32,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,-0.41,-0.25,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PERF,-0.41,0.75,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that be,-0.41,-0.25,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,0.99,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB,-0.41,-0.25,0.87,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD quest must,0.59,-0.25,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG,-0.41,-0.25,-0.13,-0.07,-0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
