esv_TAMsimp,FUT,IMPV,PRES,MOD is to,PAST,MOD shall,MOD must,TO INF,MOD may,PRES PART,PRES PERF,MOD would,MOD let,MOD can,MOD should,PAST PERF,PAST PROG,FUT going-to,MOD might,MOD could,MOD was to,PRES PROG,HAB used to,FUT PERF,MOD that be,MOD VB,MOD quest must,FUT PROG
MOD shall,0.01,0.06,-0.15,0.12,-0.09,0.09,0.06,-0.02,-0.02,-0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
FUT,0.64,-0.19,-0.12,-0.08,-0.07,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
PRES,-0.4,-0.15,0.66,-0.06,0.02,-0.04,-0.03,0.0,-0.0,0.02,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
IMPV,-0.46,0.83,-0.11,-0.06,-0.06,-0.03,-0.03,-0.0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.46,-0.14,-0.08,-0.04,0.75,-0.04,-0.03,-0.0,-0.02,0.02,0.01,0.02,-0.01,-0.01,-0.0,0.01,0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.19,-0.13,-0.06,-0.06,-0.06,-0.03,-0.0,0.1,0.37,-0.01,-0.01,-0.01,0.02,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.38,0.08,-0.08,0.07,-0.06,-0.01,-0.01,0.03,0.03,0.0,-0.01,-0.01,0.33,0.03,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.38,-0.1,-0.06,-0.06,0.23,-0.04,-0.03,-0.01,-0.02,0.02,-0.01,0.41,0.01,-0.01,0.01,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.41,-0.15,0.08,-0.06,0.07,-0.04,-0.03,-0.02,-0.02,0.02,0.6,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.29,-0.05,-0.09,-0.0,-0.04,-0.04,-0.03,0.46,0.02,-0.01,0.01,-0.01,0.01,0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04,-0.0,-0.0,-0.0
MOD lest,0.01,-0.05,-0.09,-0.04,-0.06,-0.04,0.01,0.12,0.12,0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.39,-0.1,0.07,-0.04,0.13,0.03,0.02,-0.02,0.03,0.32,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,-0.46,-0.15,-0.11,-0.06,0.28,-0.04,-0.03,-0.02,-0.02,0.07,-0.01,0.24,-0.01,-0.01,-0.0,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.38,-0.15,0.14,-0.06,-0.06,-0.04,-0.03,0.14,0.15,-0.01,-0.01,-0.01,-0.01,-0.01,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.24,-0.15,0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,-0.46,0.43,0.03,-0.06,-0.06,-0.04,0.11,-0.02,-0.02,-0.01,-0.01,-0.01,0.14,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.46,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,0.19,-0.01,-0.01,-0.01,-0.01,-0.0,0.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.46,-0.15,-0.11,-0.06,0.19,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,-0.46,-0.15,-0.11,-0.06,0.7,-0.04,-0.03,0.23,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB,-0.21,0.1,0.14,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.46,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,0.31,-0.02,-0.01,-0.01,0.32,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG,0.04,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5
MOD might,-0.46,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,0.49,-0.01,-0.0,-0.0,-0.0,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD,-0.46,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,0.99,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,-0.46,-0.15,0.89,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that be,0.54,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PERF,0.54,-0.15,-0.11,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VB,-0.46,-0.15,0.89,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
