,FUT,IMPV,PRES,MOD is to,PAST,MOD shall,MOD must,TO INF,MOD may,PRES PART,PRES PERF,MOD would,MOD let,MOD can,MOD should,PAST PERF,PAST PROG,FUT going-to,MOD might,MOD could,MOD was to,PRES PROG,HAB used to,FUT PERF,MOD that be,MOD VB,MOD quest must,FUT PROG
MOD shall,0.18,9.16,-80.2,88.28,-59.14,66.83,44.14,-5.18,-9.49,-4.46,-7.79,-5.49,-3.25,-0.54,-0.11,-1.33,-1.07,0.0,-0.82,-0.82,-0.82,-0.56,-0.56,-0.56,-0.29,-0.29,0.39,0.0
FUT,inf,-95.78,-45.16,-42.0,-35.04,-27.61,-18.05,-8.24,-7.82,-2.02,-4.91,-1.49,-0.66,-2.09,-1.34,-0.69,-0.47,0.98,-0.24,-0.24,-0.24,-0.24,-0.24,1.8,0.0,0.0,0.0,0.0
PRES,-100.94,-37.15,inf,-11.89,1.85,-12.67,-8.36,0.23,-0.24,2.71,1.64,-1.08,-2.31,-0.94,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,1.8,0.0,0.0
IMPV,-85.14,278.58,-13.44,-7.59,-7.9,-3.4,-4.71,0.0,-3.29,-1.84,-1.67,-1.12,-0.94,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,-64.09,-13.22,-4.97,-1.92,234.73,-3.32,-3.23,0.0,-2.18,2.13,0.88,2.05,-0.57,-0.39,0.0,2.49,4.62,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-6.36,-7.32,-2.14,-3.31,-4.16,-1.17,0.0,9.66,72.69,-0.76,-0.57,-0.39,1.96,8.7,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-10.04,0.99,-1.37,1.27,-1.31,0.0,0.0,0.77,0.86,0.25,0.0,0.0,30.39,1.29,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,-9.56,-1.4,-0.82,-1.3,7.9,-0.76,-0.37,0.0,-0.2,0.74,0.0,37.83,0.42,0.0,0.92,0.0,0.0,0.0,1.38,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,-11.09,-3.67,1.04,-1.31,1.4,-0.76,-0.38,-0.19,-0.2,0.76,56.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-4.73,-0.37,-1.58,0.0,-0.44,-0.57,-0.39,27.72,0.54,0.0,0.34,0.0,0.47,0.58,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0
MOD lest,0.05,-0.37,-1.59,-0.43,-0.94,-0.58,0.18,3.88,4.15,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,-7.49,-1.1,0.85,-0.29,2.67,0.65,0.44,-0.2,0.66,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,-3.14,-0.63,-0.42,0.0,2.49,0.0,0.0,0.0,0.0,0.84,0.0,3.87,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,8.14,0.0,0.0,0.0,0.0,0.0
MOD should,-2.08,-0.63,0.83,0.0,0.0,0.0,0.0,1.54,1.62,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,-0.71,-0.43,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,-1.75,1.97,0.25,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,-0.89,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,-0.89,0.0,0.0,0.0,3.19,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB,-0.2,0.33,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45
MOD might,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
